Entity,Code,Year,"Fertility rate, total (births per woman)"
Azerbaijan,AZE,1960,5.878
Azerbaijan,AZE,1970,4.913
Azerbaijan,AZE,1980,3.497
Azerbaijan,AZE,1990,2.74
Azerbaijan,AZE,2000,2.0
Azerbaijan,AZE,2010,1.92
Azerbaijan,AZE,2019,1.81
Ethiopia,ETH,1960,6.88
Ethiopia,ETH,1970,6.978
Ethiopia,ETH,1980,7.334
Ethiopia,ETH,1990,7.238
Ethiopia,ETH,2000,6.56
Ethiopia,ETH,2010,5.217
Ethiopia,ETH,2019,4.323
Germany,DEU,1960,2.37
Germany,DEU,1970,2.03
Germany,DEU,1980,1.44
Germany,DEU,1990,1.45
Germany,DEU,2000,1.38
Germany,DEU,2010,1.39
Germany,DEU,2019,1.54
Lebanon,LBN,1960,5.818
Lebanon,LBN,1970,5.168
Lebanon,LBN,1980,4.032
Lebanon,LBN,1990,3.295
Lebanon,LBN,2000,2.499
Lebanon,LBN,2010,2.126
Lebanon,LBN,2019,2.13
Philippines,PHL,1960,7.148
Philippines,PHL,1970,6.198
Philippines,PHL,1980,5.108
Philippines,PHL,1990,4.352
Philippines,PHL,2000,3.714
Philippines,PHL,2010,3.264
Philippines,PHL,2019,2.805
