Entity,Code,Year,co2_per_km
Austria,AUT,2001,166.0405543
Austria,AUT,2002,163.9467583
Austria,AUT,2004,162.3965748
Austria,AUT,2006,161.877698
Austria,AUT,2008,159.0665738
Austria,AUT,2010,146.5040375
Austria,AUT,2012,137.3834747
Austria,AUT,2014,128.4700211
Austria,AUT,2016,119.8568799
Austria,AUT,2018,120.7593606
Austria,AUT,2019,121.8353321
Belgium,BEL,2001,164.8407242
Belgium,BEL,2002,161.2506942
Belgium,BEL,2004,156.3707812
Belgium,BEL,2006,154.0880929
Belgium,BEL,2008,148.0613343
Belgium,BEL,2010,136.2265537
Belgium,BEL,2012,131.7362714
Belgium,BEL,2014,121.2151532
Belgium,BEL,2016,115.8115183
Belgium,BEL,2018,118.6179771
Belgium,BEL,2019,119.4582106
Denmark,DNK,2001,174.3094128
Denmark,DNK,2002,170.7603757
Denmark,DNK,2004,170.1926623
Denmark,DNK,2006,165.10924
Denmark,DNK,2008,147.2703909
Denmark,DNK,2010,136.1937781
Denmark,DNK,2012,119.0916719
Denmark,DNK,2014,111.0338802
Denmark,DNK,2016,109.8732437
Denmark,DNK,2018,109.4999245
Denmark,DNK,2019,107.0854129
Finland,FIN,2001,181.1862802
Finland,FIN,2002,180.4835436
Finland,FIN,2004,180.9185791
Finland,FIN,2006,179.8776891
Finland,FIN,2008,163.7167437
Finland,FIN,2010,151.1872065
Finland,FIN,2012,140.6193032
Finland,FIN,2014,127.3332957
Finland,FIN,2016,121.0267081
Finland,FIN,2018,117.2625072
Finland,FIN,2019,112.1598791
France,FRA,2001,160.0968531
France,FRA,2002,156.4391553
France,FRA,2004,153.0892857
France,FRA,2006,149.4601749
France,FRA,2008,140.6343056
France,FRA,2010,132.0575367
France,FRA,2012,125.47727
France,FRA,2014,114.8043716
France,FRA,2016,110.185629
France,FRA,2018,111.3729646
France,FRA,2019,111.8351428
Germany,DEU,2001,178.9234762
Germany,DEU,2002,176.0717963
Germany,DEU,2004,174.1544978
Germany,DEU,2006,172.2014705
Germany,DEU,2008,165.8039347
Germany,DEU,2010,153.2916067
Germany,DEU,2012,142.5809162
Germany,DEU,2014,131.5071158
Germany,DEU,2016,125.3741058
Germany,DEU,2018,127.6430847
Germany,DEU,2019,130.1603501
Greece,GRC,2001,167.1640078
Greece,GRC,2002,167.1445772
Greece,GRC,2004,168.3955298
Greece,GRC,2006,165.7469512
Greece,GRC,2008,160.9603608
Greece,GRC,2010,144.9083499
Greece,GRC,2012,122.4275582
Greece,GRC,2014,109.9712064
Greece,GRC,2016,106.7223366
Greece,GRC,2018,111.8767881
Greece,GRC,2019,114.5265149
Iceland,ISL,2016,123.1189087
Ireland,IRL,2001,169.311945
Ireland,IRL,2002,168.1161775
Ireland,IRL,2004,168.3367502
Ireland,IRL,2006,164.5584166
Ireland,IRL,2008,157.5832528
Ireland,IRL,2010,132.8156918
Ireland,IRL,2012,125.7046408
Ireland,IRL,2014,118.7901496
Ireland,IRL,2016,112.2147967
Ireland,IRL,2018,112.8260523
Ireland,IRL,2019,109.6682282
Italy,ITA,2001,158.4855445
Italy,ITA,2002,157.0861475
Italy,ITA,2004,149.6929614
Italy,ITA,2006,149.1618033
Italy,ITA,2008,146.5223531
Italy,ITA,2010,136.1480672
Italy,ITA,2012,126.0488437
Italy,ITA,2014,118.2341456
Italy,ITA,2016,113.1701109
Italy,ITA,2018,114.2532877
Italy,ITA,2019,118.7528439
Luxembourg,LUX,2001,174.6155768
Luxembourg,LUX,2002,172.2235586
Luxembourg,LUX,2004,169.4246403
Luxembourg,LUX,2006,167.6905543
Luxembourg,LUX,2008,159.7254486
Luxembourg,LUX,2010,147.250129
Luxembourg,LUX,2012,138.3330226
Luxembourg,LUX,2014,129.4180998
Luxembourg,LUX,2016,125.7017842
Luxembourg,LUX,2018,130.3489679
Luxembourg,LUX,2019,129.8055917
Netherlands,NLD,2001,173.7460875
Netherlands,NLD,2002,172.1880896
Netherlands,NLD,2004,172.4693521
Netherlands,NLD,2006,166.5441421
Netherlands,NLD,2008,157.8228551
Netherlands,NLD,2010,137.5385197
Netherlands,NLD,2012,120.3029546
Netherlands,NLD,2014,107.9843627
Netherlands,NLD,2016,108.2781237
Netherlands,NLD,2018,106.7039954
Netherlands,NLD,2019,98.74799167
Norway,NOR,2014,109.9609099
Norway,NOR,2016,93.29371331
Norway,NOR,2018,73.86496823
Norway,NOR,2019,52.54496222
Portugal,PRT,2001,157.762185
Portugal,PRT,2002,153.453946
Portugal,PRT,2004,147.7346822
Portugal,PRT,2006,144.5282533
Portugal,PRT,2008,138.1151824
Portugal,PRT,2010,129.5320567
Portugal,PRT,2012,120.4118249
Portugal,PRT,2014,109.6249568
Portugal,PRT,2016,104.6540033
Portugal,PRT,2018,104.8170722
Portugal,PRT,2019,103.6627705
Spain,ESP,2001,164.4672638
Spain,ESP,2002,161.9874661
Spain,ESP,2004,157.5479817
Spain,ESP,2006,156.0281542
Spain,ESP,2008,151.0813985
Spain,ESP,2010,141.2617278
Spain,ESP,2012,130.3922799
Spain,ESP,2014,119.7510954
Spain,ESP,2016,114.645895
Spain,ESP,2018,118.3681763
Spain,ESP,2019,120.5097701
Sweden,SWE,2001,199.9586507
Sweden,SWE,2002,199.4321323
Sweden,SWE,2004,197.2617949
Sweden,SWE,2006,189.6624894
Sweden,SWE,2008,174.836047
Sweden,SWE,2010,155.6309706
Sweden,SWE,2012,139.2301984
Sweden,SWE,2014,131.7022048
Sweden,SWE,2016,123.9464411
Sweden,SWE,2018,121.8292362
Sweden,SWE,2019,114.1367745
Switzerland,CHE,2014,141.5134235
Switzerland,CHE,2016,132.7794614
Switzerland,CHE,2018,136.6621707
Switzerland,CHE,2019,134.6861725
Turkey,TUR,2014,120.6504288
Turkey,TUR,2016,115.6313359
Turkey,TUR,2018,119.4123489
Turkey,TUR,2019,119.037365
United Kingdom,GBR,2001,177.8817179
United Kingdom,GBR,2002,174.2901465
United Kingdom,GBR,2004,172.0146507
United Kingdom,GBR,2006,166.6915389
United Kingdom,GBR,2008,158.1411016
United Kingdom,GBR,2010,145.7641398
United Kingdom,GBR,2012,134.227259
United Kingdom,GBR,2014,124.8603547
United Kingdom,GBR,2016,119.8453904
United Kingdom,GBR,2018,126.6003523
United Kingdom,GBR,2019,127.4799297
