Entity,Code,Year,"Current number of cases of attention-deficit/hyperactivity disorder per 100 people, in both sexes aged age-standardized"
Argentina,ARG,1990,1.2876718
Argentina,ARG,1995,1.2885677
Argentina,ARG,2000,1.2902327
Argentina,ARG,2005,1.2855291
Argentina,ARG,2010,1.2852466
Argentina,ARG,2015,1.2853254
Argentina,ARG,2019,1.2859498
Belgium,BEL,1990,1.2919676
Belgium,BEL,1995,1.2915816
Belgium,BEL,2000,1.2907342
Belgium,BEL,2005,1.2896817
Belgium,BEL,2010,1.289168
Belgium,BEL,2015,1.2894893
Belgium,BEL,2019,1.2900532
Canada,CAN,1990,1.9573332
Canada,CAN,1995,1.9560863
Canada,CAN,2000,1.956942
Canada,CAN,2005,2.001539
Canada,CAN,2010,2.0338652
Canada,CAN,2015,2.035982
Canada,CAN,2019,2.0377312
Cuba,CUB,1990,3.0830767
Cuba,CUB,1995,3.0861566
Cuba,CUB,2000,3.088943
Cuba,CUB,2005,3.0916967
Cuba,CUB,2010,3.0944057
Cuba,CUB,2015,3.0967057
Cuba,CUB,2019,3.0980659
Finland,FIN,1990,1.8661841
Finland,FIN,1995,1.6414285
Finland,FIN,2000,1.5785838
Finland,FIN,2005,1.535968
Finland,FIN,2010,1.5369295
Finland,FIN,2015,1.6324939
Finland,FIN,2019,1.6335772
France,FRA,1990,1.500231
France,FRA,1995,1.499873
France,FRA,2000,1.5008216
France,FRA,2005,1.5007565
France,FRA,2010,1.5005577
France,FRA,2015,1.5002177
France,FRA,2019,1.500057
Maldives,MDV,1990,0.91775185
Maldives,MDV,1995,0.91529715
Maldives,MDV,2000,0.91570085
Maldives,MDV,2005,0.9165957
Maldives,MDV,2010,0.93501884
Maldives,MDV,2015,0.95433444
Maldives,MDV,2019,0.96234286
World,OWID_WRL,1990,1.2404662
World,OWID_WRL,1995,1.2624882
World,OWID_WRL,2000,1.2479881
World,OWID_WRL,2005,1.2073938
World,OWID_WRL,2010,1.179119
World,OWID_WRL,2015,1.150772
World,OWID_WRL,2019,1.1318727
