Entity,Code,Year,Total deaths - Drought,Total deaths - Flood,Total deaths - Earthquake,Total deaths - Extreme weather,Total deaths - Extreme temperature,Total deaths - Volcanic activity,Total deaths - Landslide,Total deaths - Wildfire,Total deaths - Glacial lake outburst,Total deaths - Dry mass movement,Total deaths - Fog
Guatemala,GTM,1987,0.0,84.0,,,,0.0,,0.0,,,
Guatemala,GTM,2012,0.0,,44.0,,,0.0,,,,,
Guatemala,GTM,1982,,620.0,,,,,,,,,
Guatemala,GTM,2002,,0.0,,2.0,,0.0,68.0,,,,
Guatemala,GTM,2007,,11.0,,0.0,,,,,,,
Guatemala,GTM,2017,,1.0,0.0,8.0,,,11.0,,,,
Guatemala,GTM,2023,,23.0,,,,0.0,,,,,
Guatemala,GTM,1902,,,2000.0,,,7000.0,,,,,
Guatemala,GTM,1917,,,2650.0,,,,,,,,
Guatemala,GTM,1992,,,,,,0.0,,,,,
