Entity,Code,Year,Gini Index around 2015 (1990-2015 countries),Gini Index around 1990 (1990-2015 countries),Population (historical estimates),World Bank Region with Advanced Industrial category (1990-2015 countries)
Algeria,DZA,2015,27.620001,40.189999,39543148,Middle East and North Africa
Algeria,DZA,1990,,,25518074,
Bangladesh,BGD,2015,32.389999,28.85,157830000,South Asia
Bangladesh,BGD,1990,,,107147656,
Bolivia,BOL,2015,46.73,42.040001,11090090,Latin America and Caribbean
Bolivia,BOL,1990,,,7096195,
Brazil,BRA,2015,51.330002,60.490002,205188208,Latin America and Caribbean
Brazil,BRA,1990,,,150706448,
Burkina Faso,BFA,2015,35.299999,48.07,18718022,Sub-Saharan Africa
Burkina Faso,BFA,1990,,,9131362,
Chile,CHL,2015,47.650002,57.25,17870122,Latin America and Caribbean
Chile,CHL,1990,,,13342876,
China,CHN,2015,49.5,34.900002,1393715456,East Asia and Pacific
China,CHN,1990,,,1153704192,
Colombia,COL,2015,51.139999,51.450001,47119728,Latin America and Caribbean
Colombia,COL,1990,,,32601396,
Costa Rica,CRI,2015,48.380001,45.299999,4895241,Latin America and Caribbean
Costa Rica,CRI,1990,,,3158257,
Croatia,HRV,2015,31.110001,22.780001,4254821,Eastern Europe and Central Asia
Croatia,HRV,1990,,,4873705,
Czechia,CZE,2015,25.870001,26.6,10523801,Eastern Europe and Central Asia
Czechia,CZE,1990,,,10301190,
Denmark,DNK,2015,24.9,23.799999,5677795,Advanced industrial economies
Denmark,DNK,1990,,,5144626,
Ecuador,ECU,2015,45.950001,50.490002,16195904,Latin America and Caribbean
Ecuador,ECU,1990,,,10449845,
Finland,FIN,2015,25.200001,20.799999,5479457,Advanced industrial economies
Finland,FIN,1990,,,4986551,
France,FRA,2015,28.719999,28.32,63809768,Advanced industrial economies
France,FRA,1990,,,56412896,
Ghana,GHA,2015,42.369999,35.990002,28870946,Sub-Saharan Africa
Ghana,GHA,1990,,,15446987,
Guinea,GIN,2015,33.73,46.84,11626003,Sub-Saharan Africa
Guinea,GIN,1990,,,6354146,
Guinea-Bissau,GNB,2015,50.66,43.610001,1788931,Sub-Saharan Africa
Guinea-Bissau,GNB,1990,,,973557,
Honduras,HND,2015,49.580002,57.360001,9294510,Latin America and Caribbean
Honduras,HND,1990,,,5053235,
Hungary,HUN,2015,30.41,25.049999,9844250,Eastern Europe and Central Asia
Hungary,HUN,1990,,,10375989,
India,IND,2015,35.150002,29.700001,1322866560,South Asia
India,IND,1990,,,870452160,
Indonesia,IDN,2015,41.0,32.0,259091968,East Asia and Pacific
Indonesia,IDN,1990,,,182159888,
Jordan,JOR,2015,33.66,43.360001,9494250,Middle East and North Africa
Jordan,JOR,1990,,,3480591,
