Entity,Code,Year,"14.6.1 - Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) - ER_REG_UNFCIM"
Bahamas,BHS,2018,4
Canada,CAN,2018,5
Canada,CAN,2022,5
Ecuador,ECU,2018,4
Ecuador,ECU,2020,5
Ecuador,ECU,2022,5
Montenegro,MNE,2020,4
Montenegro,MNE,2022,4
Oceania (UN),,2018,4
Oceania (UN),,2020,3
Oceania (UN),,2022,4
Seychelles,SYC,2018,4
Seychelles,SYC,2022,4
South Korea,KOR,2018,5
