Entity,Code,Year,natural_ha_share
France,FRA,1780,48.69911295
France,FRA,1800,48.42023059
France,FRA,1850,43.11520695
France,FRA,1900,42.80731696
France,FRA,1950,47.66031015
France,FRA,2010,62.02246918
Germany,DEU,1780,46.10104333
Germany,DEU,1800,45.42300416
Germany,DEU,1850,44.64695932
Germany,DEU,1900,41.29378443
Germany,DEU,1950,46.15307665
Germany,DEU,2010,65.26715069
United Kingdom,GBR,1780,63.48370964
United Kingdom,GBR,1800,62.85966801
United Kingdom,GBR,1850,57.2221511
United Kingdom,GBR,1900,41.70778451
United Kingdom,GBR,1950,29.42429761
United Kingdom,GBR,2010,47.39662763
World,OWID_WRL,1780,74.96475913
World,OWID_WRL,1800,74.48764557
World,OWID_WRL,1850,71.77317589
World,OWID_WRL,1900,64.88916555
World,OWID_WRL,1950,53.17276922
World,OWID_WRL,2010,48.79721954
