Entity,Code,Year,"Change in Global Hunger Index, 1992-2017 (Global Hunger Index 2017)",Population growth 1992-2015 (UN Population Division),Population (historical estimates),Continent
Afghanistan,AFG,2017,-16.9,141.2984379,35643420.0,
Afghanistan,AFG,1992,,,12057436.0,
Afghanistan,AFG,2015,,,33753500.0,Asia
Africa,,2017,,78.47159058,1263333997.0,
Africa,,1992,,,671931834.0,
Africa,,2015,,,1201108186.0,
Albania,ALB,2017,-9.7,-9.789430125,2879361.0,
Albania,ALB,1992,,,3303738.0,
Albania,ALB,2015,,,2882482.0,Europe
Angola,AGO,2017,-33.3,114.8254384,30208634.0,
Angola,AGO,1992,,,12632509.0,
Angola,AGO,2015,,,28127724.0,Africa
Argentina,ARG,2017,-1.6,29.00777866,44054616.0,
Argentina,ARG,1992,,,33568280.0,
Argentina,ARG,2015,,,43257064.0,South America
Asia,,2017,,32.58615051,4547095064.0,
Asia,,1992,,,3324377494.0,
Asia,,2015,,,4458250376.0,
Bangladesh,BGD,2017,-27.1,44.93624351,161793968.0,
Bangladesh,BGD,1992,,,111272104.0,
Bangladesh,BGD,2015,,,157830000.0,Asia
Botswana,BWA,2017,-9.4,51.74796835,2401848.0,
Botswana,BWA,1992,,,1420696.0,
Botswana,BWA,2015,,,2305177.0,Africa
Brazil,BRA,2017,-10.5,33.25336316,208504960.0,
Brazil,BRA,1992,,,155900784.0,
Brazil,BRA,2015,,,205188208.0,South America
Bulgaria,BGR,2017,-2.5,-17.27529992,7182430.0,
Bulgaria,BGR,1992,,,8668545.0,
Bulgaria,BGR,2015,,,7309255.0,Europe
Burkina Faso,BFA,2017,-19.4,94.79836375,19835860.0,
Burkina Faso,BFA,1992,,,9598555.0,
Burkina Faso,BFA,2015,,,18718022.0,Africa
Cambodia,KHM,2017,-23.6,61.28076234,15830694.0,
Cambodia,KHM,1992,,,9718217.0,
Cambodia,KHM,2015,,,15417527.0,Asia
Chad,TCD,2017,-19.0,120.652333,15085893.0,
Chad,TCD,1992,,,6302934.0,
Chad,TCD,2015,,,14140277.0,Africa
China,CHN,2017,-18.4,16.03189571,1410275968.0,
China,CHN,1992,,,1183813376.0,
China,CHN,2015,,,1393715456.0,Asia
Cuba,CUB,2017,-8.0,6.783232804,11336405.0,
Cuba,CUB,1992,,,10783745.0,
Cuba,CUB,2015,,,11339888.0,North America
Djibouti,DJI,2017,-28.9,50.78578466,1040242.0,
Djibouti,DJI,1992,,,623208.0,
Djibouti,DJI,2015,,,1006266.0,Africa
Ecuador,ECU,2017,-7.9,50.8020752,16696947.0,
Ecuador,ECU,1992,,,10914222.0,
Ecuador,ECU,2015,,,16195904.0,South America
Egypt,EGY,2017,-5.4,56.20443199,101789384.0,
Egypt,EGY,1992,,,59989148.0,
Egypt,EGY,2015,,,97723792.0,Africa
El Salvador,SLV,2017,-8.4,16.89057578,6266661.0,
El Salvador,SLV,1992,,,5552210.0,
El Salvador,SLV,2015,,,6231072.0,North America
Europe,,2017,,2.138965851,745657647.0,
Europe,,1992,,,726070329.0,
Europe,,2015,,,743294457.0,
Gambia,GMB,2017,-12.0,101.8529822,2381189.0,
Gambia,GMB,1992,,,1127156.0,
Gambia,GMB,2015,,,2253137.0,Africa
Ghana,GHA,2017,-25.7,78.36963541,30222266.0,
Ghana,GHA,1992,,,16241548.0,
Ghana,GHA,2015,,,28870946.0,Africa
Guatemala,GTM,2017,-7.8,67.40336141,16578718.0,
Guatemala,GTM,1992,,,9576630.0,
Guatemala,GTM,2015,,,16001105.0,North America
Guinea,GIN,2017,-17.9,78.89958303,12240791.0,
Guinea,GIN,1992,,,6832196.0,
Guinea,GIN,2015,,,11626003.0,Africa
Guinea-Bissau,GNB,2017,-13.9,66.5907038,1879835.0,
Guinea-Bissau,GNB,1992,,,1022910.0,
Guinea-Bissau,GNB,2015,,,1788931.0,Africa
Haiti,HTI,2017,-17.4,44.99928591,10863546.0,
Haiti,HTI,1992,,,7205779.0,
Haiti,HTI,2015,,,10563762.0,North America
Honduras,HND,2017,-11.6,70.75283984,9626845.0,
Honduras,HND,1992,,,5344774.0,
Honduras,HND,2015,,,9294510.0,North America
India,IND,2017,-14.8,44.48382307,1354195712.0,
India,IND,1992,,,907574080.0,
India,IND,2015,,,1322866560.0,Asia
Iraq,IRQ,2017,1.1,95.66193605,39621156.0,
Iraq,IRQ,1992,,,18385682.0,
Iraq,IRQ,2015,,,37757812.0,Asia
Jordan,JOR,2017,-6.7,130.8176659,10215384.0,
Jordan,JOR,1992,,,3866894.0,
Jordan,JOR,2015,,,9494250.0,Asia
Kenya,KEN,2017,-18.1,89.21784586,48948140.0,
Kenya,KEN,1992,,,24655724.0,
Kenya,KEN,2015,,,46851496.0,Africa
Kuwait,KWT,2017,-17.5,105.3232419,4124904.0,
Kuwait,KWT,1992,,,1620639.0,
Kuwait,KWT,2015,,,3908745.0,Asia
Laos,LAO,2017,-24.8,48.01043363,6997925.0,
Laos,LAO,1992,,,4561117.0,
Laos,LAO,2015,,,6787420.0,Asia
Lebanon,LBN,2017,-3.3,107.3623374,6109255.0,
Lebanon,LBN,1992,,,3745410.0,
Lebanon,LBN,2015,,,6398941.0,Asia
Liberia,LBR,2017,-15.9,122.4529831,4796632.0,
Liberia,LBR,1992,,,2052633.0,
Liberia,LBR,2015,,,4612330.0,Africa
Madagascar,MDG,2017,-5.6,97.00370756,26169540.0,
Madagascar,MDG,1992,,,12623342.0,
Madagascar,MDG,2015,,,24850912.0,Africa
Malawi,MWI,2017,-31.0,80.61787409,17881172.0,
Malawi,MWI,1992,,,10115423.0,
Malawi,MWI,2015,,,16938944.0,Africa
Mali,MLI,2017,-22.8,96.97097391,19311356.0,
Mali,MLI,1992,,,9310571.0,
Mali,MLI,2015,,,18112910.0,Africa
Mexico,MEX,2017,-7.5,41.72389542,122839256.0,
Mexico,MEX,1992,,,84993160.0,
Mexico,MEX,2015,,,120149896.0,North America
Morocco,MAR,2017,-8.5,34.94107786,35528116.0,
Morocco,MAR,1992,,,25400676.0,
Morocco,MAR,2015,,,34680456.0,Africa
Mozambique,MOZ,2017,-33.1,99.0635503,28569448.0,
Mozambique,MOZ,1992,,,13816886.0,
Mozambique,MOZ,2015,,,26843252.0,Africa
Myanmar,MMR,2017,-33.0,25.63372985,52288344.0,
Myanmar,MMR,1992,,,41237808.0,
Myanmar,MMR,2015,,,51483956.0,Asia
Nepal,NPL,2017,-20.5,44.92066562,28183424.0,
Nepal,NPL,1992,,,20702138.0,
Nepal,NPL,2015,,,27610328.0,Asia
Nicaragua,NIC,2017,-22.5,40.42128915,6480534.0,
Nicaragua,NIC,1992,,,4427177.0,
Nicaragua,NIC,2015,,,6298610.0,North America
Niger,NER,2017,-31.7,132.7287078,21737924.0,
Niger,NER,1992,,,8907642.0,
Niger,NER,2015,,,20128132.0,Africa
Nigeria,NGA,2017,-23.3,80.78120516,193495904.0,
Nigeria,NGA,1992,,,100182048.0,
Nigeria,NGA,2015,,,183995776.0,Africa
North America,,1992,,,434703257.0,
North America,,2015,,,570726015.0,
North America,,2017,,,581258143.0,
North Korea,PRK,2017,-3.7,20.56851938,25516318.0,
North Korea,PRK,1992,,,21439992.0,
North Korea,PRK,2015,,,25258012.0,Asia
Oceania,,2017,,41.58378278,41817267.0,
Oceania,,1992,,,27637470.0,
Oceania,,2015,,,40403644.0,
Pakistan,PAK,2017,-10.1,66.49255415,216379648.0,
Pakistan,PAK,1992,,,122375176.0,
Pakistan,PAK,2015,,,210969296.0,Asia
Panama,PAN,2017,-10.7,54.08467643,4096071.0,
Panama,PAN,1992,,,2554387.0,
Panama,PAN,2015,,,3957102.0,North America
Peru,PER,2017,-20.0,37.99795365,31605488.0,
Peru,PER,1992,,,23047250.0,
Peru,PER,2015,,,30711864.0,South America
Romania,ROU,2017,-4.1,-14.9603493,19698852.0,
Romania,ROU,1992,,,22800964.0,
Romania,ROU,2015,,,19906078.0,Europe
Saudi Arabia,SAU,2017,-7.2,81.58380264,34193120.0,
Saudi Arabia,SAU,1992,,,17281352.0,
Saudi Arabia,SAU,2015,,,32749838.0,Asia
South Africa,ZAF,2017,-5.3,40.47486717,56641208.0,
South Africa,ZAF,1992,,,41760756.0,
South Africa,ZAF,2015,,,55876504.0,Africa
South America,,2017,,35.33467063,420982650.0,
South America,,1992,,,307967492.0,
South America,,2015,,,413134461.0,
Sri Lanka,LKA,2017,-6.1,16.76041378,21506816.0,
Sri Lanka,LKA,1992,,,17624462.0,
Sri Lanka,LKA,2015,,,21336692.0,Asia
Suriname,SUR,2017,-7.1,30.85534921,587566.0,
Suriname,SUR,1992,,,419531.0,
Suriname,SUR,2015,,,575478.0,South America
Tanzania,TZA,2017,-14.1,97.94529093,56267040.0,
Tanzania,TZA,1992,,,27580728.0,
Tanzania,TZA,2015,,,52542824.0,Africa
Thailand,THA,2017,-15.2,18.70697889,70898208.0,
Thailand,THA,1992,,,56939020.0,
Thailand,THA,2015,,,70294408.0,Asia
Turkey,TUR,2017,-11.8,40.40008986,82089824.0,
Turkey,TUR,1992,,,56302040.0,
Turkey,TUR,2015,,,79646176.0,Asia
Uganda,UGA,2017,-9.2,115.2206779,40127096.0,
Uganda,UGA,1992,,,18801968.0,
Uganda,UGA,2015,,,37477356.0,Africa
Venezuela,VEN,2017,-2.2,49.79096666,30563430.0,
Venezuela,VEN,1992,,,20700462.0,
Venezuela,VEN,2015,,,30529722.0,South America
Vietnam,VNM,2017,-24.2,31.54924597,94033048.0,
Vietnam,VNM,1992,,,69788752.0,
Vietnam,VNM,2015,,,92191400.0,Asia
Yemen,YEM,2017,-7.4,101.9889711,30034386.0,
Yemen,YEM,1992,,,14433772.0,
Yemen,YEM,2015,,,28516552.0,Asia
Zambia,ZMB,2017,-10.3,90.48820584,17298056.0,
Zambia,ZMB,1992,,,8074342.0,
Zambia,ZMB,2015,,,16248231.0,Africa
