Entity,Code,Year,17.5.1 - Number of countries with an in-force bilateral investment treaty (BIT) with least developed countries and developing countries (Number) - SG_CPA_INFORCE_BIT
Developing regions,,1959,0
Developing regions,,1970,40
Developing regions,,1980,61
Developing regions,,1990,90
Developing regions,,2000,164
Developing regions,,2010,173
Developing regions,,2021,176
Least Developed Countries (LDCs),,1959,0
Least Developed Countries (LDCs),,1970,19
Least Developed Countries (LDCs),,1980,31
Least Developed Countries (LDCs),,1990,42
Least Developed Countries (LDCs),,2000,71
Least Developed Countries (LDCs),,2010,97
Least Developed Countries (LDCs),,2021,102
