Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: All Ages (Number),Estimated number of malaria deaths,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Brazil,BRA,2019,118.0,37.0,211782880.0,
Cambodia,KHM,2019,57.0,102.0,16207746.0,
Djibouti,DJI,2019,97.0,97.0,1073999.0,
Dominican Republic,DOM,2019,5.0,4.0,10881886.0,
Eritrea,ERI,2019,331.0,437.0,3498819.0,
Ethiopia,ETH,2019,13104.0,5708.0,114120592.0,
Ghana,GHA,2019,21597.0,12324.0,31522294.0,
Haiti,HTI,2019,453.0,45.0,11160441.0,
India,IND,2019,33372.0,7704.0,1383112064.0,
Indonesia,IDN,2019,637.0,1395.0,269582880.0,
Kenya,KEN,2019,8049.0,11298.0,50951452.0,
Laos,LAO,2019,23.0,11.0,7212058.0,
Myanmar,MMR,2019,294.0,97.0,53040212.0,
Namibia,NAM,2019,192.0,14.0,2446648.0,
Nicaragua,NIC,2019,3.0,1.0,6663919.0,
Nigeria,NGA,2019,191106.0,187428.0,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,4031.0,544.0,223293280.0,
Peru,PER,2019,19.0,35.0,32824864.0,
Philippines,PHL,2019,46.0,31.0,110380800.0,
South Africa,ZAF,2019,464.0,79.0,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,2337.0,6673.0,43232092.0,
Tanzania,TZA,2019,17014.0,24699.0,59872584.0,
Thailand,THA,2019,1.0,13.0,71307768.0,
Venezuela,VEN,2019,667.0,351.0,28971686.0,
Vietnam,VNM,2019,59.0,6.0,95776712.0,
Yemen,YEM,2019,5089.0,2108.0,31546694.0,
Zambia,ZMB,2019,4777.0,8244.0,18380478.0,
Zimbabwe,ZWE,2019,2068.0,2003.0,15354606.0,
