Entity,Code,Year,Solar - % electricity
Chile,CHL,1990,0.0
Chile,CHL,1995,0.0
Chile,CHL,2000,0.0
Chile,CHL,2005,0.0
Chile,CHL,2010,0.0
Chile,CHL,2015,1.9094076
Chile,CHL,2020,9.826366
Chile,CHL,2022,17.44773
India,IND,1985,0.0
India,IND,1990,0.0
India,IND,1995,0.00023647523
India,IND,2000,0.0017501181
India,IND,2005,0.002838812
India,IND,2010,0.011733709
India,IND,2015,0.4969367
India,IND,2020,3.7093697
India,IND,2022,5.121691
Italy,ITA,1985,0.0
Italy,ITA,1990,0.0
Italy,ITA,1995,0.004219409
Italy,ITA,2000,0.0074308007
Italy,ITA,2005,0.010144731
Italy,ITA,2010,0.64115477
Italy,ITA,2015,8.1651535
Italy,ITA,2020,8.968965
Italy,ITA,2022,9.739051
Spain,ESP,1985,0.0
Spain,ESP,1990,0.006613319
Spain,ESP,1995,0.012077294
Spain,ESP,2000,0.0045265253
Spain,ESP,2005,0.017577164
Spain,ESP,2010,2.411538
Spain,ESP,2015,4.9951344
Spain,ESP,2020,7.958264
Spain,ESP,2022,11.5128355
United Kingdom,GBR,1985,0.0003388589
United Kingdom,GBR,1990,0.0
United Kingdom,GBR,1995,0.0
United Kingdom,GBR,2000,0.0
United Kingdom,GBR,2005,0.002510355
United Kingdom,GBR,2010,0.01046956
United Kingdom,GBR,2015,2.2220912
United Kingdom,GBR,2020,4.1343503
United Kingdom,GBR,2022,4.26876
World,OWID_WRL,1985,0.00011882865
World,OWID_WRL,1990,0.0032468128
World,OWID_WRL,1995,0.004774236
World,OWID_WRL,2000,0.00714864
World,OWID_WRL,2005,0.021867823
World,OWID_WRL,2010,0.1522578
World,OWID_WRL,2015,1.076429
World,OWID_WRL,2020,3.2023754
World,OWID_WRL,2022,4.570744
