Entity,Code,Year,Natural growth rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,1.7,2.8886,44177964.0,
Asia,,2021,,,4693332132.0,
Austria,AUT,2021,-0.06,1.4701,8922086.0,
Bangladesh,BGD,2021,1.21,1.981,169356240.0,
Bolivia,BOL,2021,1.19,2.6178,12079474.0,
Brazil,BRA,2021,0.46,1.6406,214326224.0,
Bulgaria,BGR,2021,-1.39,1.586,6885864.0,
Chad,TCD,2021,3.09,6.2549,17179744.0,
China,CHN,2021,0.02,1.164,1425893504.0,
Democratic Republic of Congo,COD,2021,3.23,6.1564,95894120.0,
Equatorial Guinea,GNQ,2021,2.15,4.266,1634473.0,
Eritrea,ERI,2021,2.19,3.8674,3620324.0,
Ethiopia,ETH,2021,2.56,4.1591,120283024.0,
Europe,,2021,,,746417727.0,
Faroe Islands,FRO,2021,0.41,2.7751,52915.0,
Fiji,FJI,2021,1.05,2.4748,924615.0,
Gambia,GMB,2021,2.57,4.6838,2639922.0,
Georgia,GEO,2021,-0.18,2.0813,3757984.0,
Germany,DEU,2021,-0.33,1.53,83408560.0,
India,IND,2021,0.7,2.0308,1407563904.0,
Iran,IRN,2021,0.73,1.6919,87923432.0,
Italy,ITA,2021,-0.46,1.2825,59240336.0,
Kazakhstan,KAZ,2021,1.13,3.0836,19196468.0,
Laos,LAO,2021,1.54,2.4961,7425055.0,
Latvia,LVA,2021,-1.02,1.5827,1873926.0,
Lebanon,LBN,2021,0.67,2.0912,5592626.0,
Macao,MAC,2021,0.6,1.0883,686616.0,
Monaco,MCO,2021,-1.25,2.1109,36713.0,
Mozambique,MOZ,2021,2.78,4.6444,32077074.0,
Namibia,NAM,2021,1.67,3.3025,2530150.0,
Niger,NER,2021,3.72,6.82,25252722.0,
Nigeria,NGA,2021,2.4,5.2374,213401328.0,
Niue,NIU,2021,0.01,2.4485,1957.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,2.04,3.4698,231402112.0,
Palau,PLW,2021,0.25,2.409,18050.0,
Papua New Guinea,PNG,2021,1.88,3.2147,9949438.0,
Philippines,PHL,2021,1.45,2.7476,113880336.0,
Russia,RUS,2021,-0.73,1.4927,145102752.0,
South Africa,ZAF,2021,0.84,2.374,59392256.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,-0.09,0.8799,51830136.0,
South Sudan,SSD,2021,1.81,4.4692,10748278.0,
Tanzania,TZA,2021,3.0,4.7259,63588332.0,
Togo,TGO,2021,2.37,4.2574,8644829.0,
Ukraine,UKR,2021,-0.91,1.2507,43531424.0,
United States,USA,2021,0.13,1.6619,336997632.0,
Vatican,VAT,2021,-1.78,1.0077,,
Wallis and Futuna,WLF,2021,0.44,1.9577,11654.0,
Yemen,YEM,2021,2.37,3.7948,32981644.0,
