Entity,Code,Year,"Borrowed to start, operate, or expand a farm or business, female (% age 15+)","Borrowed to start, operate, or expand a farm or business, male (% age 15+)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Armenia,ARM,2017,12.43,22.17,2851929.0,
Asia,,2017,,,4547095064.0,
Austria,AUT,2017,5.82,5.46,8797497.0,
Belarus,BLR,2017,1.75,3.1,9707874.0,
Bolivia,BOL,2017,12.14,9.08,11435535.0,
Cameroon,CMR,2017,11.24,13.0,24393182.0,
Costa Rica,CRI,2017,5.15,6.84,4993849.0,
Dominican Republic,DOM,2017,11.06,18.48,10647247.0,
Egypt,EGY,2017,1.58,4.93,101789384.0,
Ethiopia,ETH,2017,11.27,16.13,108197944.0,
Europe,,2017,,,745657647.0,
Ghana,GHA,2017,12.47,13.27,30222266.0,
Guatemala,GTM,2017,7.05,6.63,16578718.0,
Guinea,GIN,2017,16.07,12.71,12240791.0,
High-income countries,,2017,2.11,4.29,1202872536.0,
Indonesia,IDN,2017,11.48,14.48,264498848.0,
Iran,IRN,2017,15.17,18.7,84505080.0,
Iraq,IRQ,2017,6.68,13.93,39621156.0,
Israel,ISR,2017,3.58,7.15,8309256.0,
Italy,ITA,2017,1.09,1.93,60004024.0,
Kenya,KEN,2017,18.45,21.98,48948140.0,
Kyrgyzstan,KGZ,2017,4.1,4.92,6121266.0,
Laos,LAO,2017,6.41,8.99,6997925.0,
Liberia,LBR,2017,20.66,21.26,4796632.0,
Libya,LBY,2017,4.9,13.53,6378267.0,
Low-income countries,,2017,10.27,12.69,626187698.0,
Lower-middle-income countries,,2017,7.17,9.36,3236754793.0,
Malawi,MWI,2017,14.96,12.86,17881172.0,
Maldives,MDV,2017,1.38,6.59,472449.0,
Malta,MLT,2017,0.05,1.6,479507.0,
Myanmar,MMR,2017,16.45,16.4,52288344.0,
Nicaragua,NIC,2017,11.59,7.25,6480534.0,
Niger,NER,2017,12.68,16.97,21737924.0,
Nigeria,NGA,2017,12.43,10.59,193495904.0,
North America,,2017,,,581258143.0,
Oceania,,2017,,,41817267.0,
Peru,PER,2017,6.3,10.09,31605488.0,
Philippines,PHL,2017,13.4,15.63,106738496.0,
Russia,RUS,2017,0.98,2.76,145452544.0,
Senegal,SEN,2017,6.2,11.35,15157793.0,
Serbia,SRB,2017,3.82,2.99,7464882.0,
South America,,2017,,,420982650.0,
South Korea,KOR,2017,3.36,4.19,51511640.0,
South Sudan,SSD,2017,9.07,10.74,10658230.0,
Tanzania,TZA,2017,10.24,11.32,56267040.0,
Togo,TGO,2017,9.44,12.71,7852799.0,
Tunisia,TUN,2017,3.06,9.46,11811441.0,
Turkey,TUR,2017,8.84,8.84,82089824.0,
Uganda,UGA,2017,20.73,18.61,40127096.0,
Upper-middle-income countries,,2017,4.08,6.49,2500616723.0,
World,OWID_WRL,2017,5.27,7.58,7599822336.0,
