Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent)
Andorra,AND,1990,9.63
Andorra,AND,1995,9.37
Andorra,AND,2000,8.94
Andorra,AND,2005,9.13
Andorra,AND,2010,8.82
Andorra,AND,2015,8.49
Andorra,AND,2019,8.33
Greenland,GRL,1990,6.39
Greenland,GRL,1995,6.29
Greenland,GRL,2000,6.59
Greenland,GRL,2005,7.03
Greenland,GRL,2010,7.11
Greenland,GRL,2015,7.19
Greenland,GRL,2019,6.95
Papua New Guinea,PNG,1990,2.36
Papua New Guinea,PNG,1995,2.45
Papua New Guinea,PNG,2000,2.5
Papua New Guinea,PNG,2005,2.48
Papua New Guinea,PNG,2010,2.61
Papua New Guinea,PNG,2015,2.82
Papua New Guinea,PNG,2019,2.95
