Entity,Code,Year,Number of new wars - Conflict type: civil war,Number of new wars - Conflict type: others (non-civil)
Americas,,1800,0,0
Americas,,1808,0,0
Americas,,1816,0,0
Americas,,1824,0,0
Americas,,1832,0,0
Americas,,1840,0,0
Americas,,1848,0,0
Americas,,1856,0,1
Americas,,1864,0,1
Americas,,1872,0,0
Americas,,1880,0,0
Americas,,1888,0,0
Americas,,1896,0,0
Americas,,1904,0,0
Americas,,1912,0,0
Americas,,1920,0,0
Americas,,1928,0,0
Americas,,1936,0,0
Americas,,1944,0,0
Americas,,1952,0,0
Americas,,1960,0,0
Americas,,1968,0,0
Americas,,1976,0,0
Americas,,1984,0,0
Americas,,1992,0,0
Americas,,2000,0,0
Americas,,2011,0,0
