Entity,Code,Year,8.8.2 - Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation - SL_LBR_NTLCPL
Botswana,BWA,2015,2.03
Botswana,BWA,2016,3.11
Botswana,BWA,2017,3.11
Botswana,BWA,2018,3.11
Botswana,BWA,2019,2.91
Botswana,BWA,2020,2.91
Botswana,BWA,2021,2.91
China,CHN,2015,8.11
China,CHN,2016,8.11
China,CHN,2017,8.5
China,CHN,2018,8.71
China,CHN,2019,9.12
China,CHN,2020,9.31
China,CHN,2021,9.11
Russia,RUS,2015,2.55
Russia,RUS,2016,2.37
Russia,RUS,2017,2.37
Russia,RUS,2018,2.37
Russia,RUS,2019,2.37
Russia,RUS,2020,2.37
Russia,RUS,2021,3.14
United States,USA,2015,2.72
United States,USA,2016,2.72
United States,USA,2017,2.72
United States,USA,2018,2.89
United States,USA,2019,3.08
United States,USA,2020,3.08
United States,USA,2021,3.08
World,OWID_WRL,2015,4.55
World,OWID_WRL,2016,4.55
World,OWID_WRL,2017,4.64
World,OWID_WRL,2018,4.66
World,OWID_WRL,2019,4.55
World,OWID_WRL,2020,4.46
World,OWID_WRL,2021,4.48
