Entity,Code,Year,Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates,Child mortality rate - Sex: all - Age: 0-4 - Variant: medium
Africa (UN),,1950,32.39037,
Africa (UN),,1960,27.162851,
Africa (UN),,1980,19.30871,
Africa (UN),,2000,13.88016,
Africa (UN),,2020,6.77269,
Africa (UN),,2040,,4.9529
Africa (UN),,2060,,3.68094
Africa (UN),,2080,,2.77949
Africa (UN),,2100,,2.15068
Asia (UN),,1950,25.01067,
Asia (UN),,1960,25.96785,
Asia (UN),,1980,11.87642,
Asia (UN),,2000,6.73453,
Asia (UN),,2020,2.7428,
Asia (UN),,2040,,1.6460301
Asia (UN),,2060,,1.06934
Asia (UN),,2080,,0.71570003
Asia (UN),,2100,,0.51251996
Europe (UN),,1950,8.72604,
Europe (UN),,1960,4.82932,
Europe (UN),,1980,2.74273,
Europe (UN),,2000,1.0949199,
Europe (UN),,2020,0.43352,
Europe (UN),,2040,,0.24564
Europe (UN),,2060,,0.1595
Europe (UN),,2080,,0.11242
Europe (UN),,2100,,0.08135
Latin America and the Caribbean (UN),,1950,20.867779,
Latin America and the Caribbean (UN),,1960,15.94386,
Latin America and the Caribbean (UN),,1980,8.539,
Latin America and the Caribbean (UN),,2000,3.33814,
Latin America and the Caribbean (UN),,2020,1.64665,
Latin America and the Caribbean (UN),,2040,,0.89542997
Latin America and the Caribbean (UN),,2060,,0.56599003
Latin America and the Caribbean (UN),,2080,,0.40026003
Latin America and the Caribbean (UN),,2100,,0.30526
Northern America (UN),,1950,3.8214297,
Northern America (UN),,1960,3.07811,
Northern America (UN),,1980,1.49721,
Northern America (UN),,2000,0.82824004,
Northern America (UN),,2020,0.62521,
Northern America (UN),,2040,,0.36870998
Northern America (UN),,2060,,0.24811001
Northern America (UN),,2080,,0.18196
Northern America (UN),,2100,,0.13715
Oceania (UN),,1950,9.2910595,
Oceania (UN),,1960,7.02727,
Oceania (UN),,1980,4.1421003,
Oceania (UN),,2000,2.96872,
Oceania (UN),,2020,2.0214,
Oceania (UN),,2040,,1.37732
Oceania (UN),,2060,,0.90698004
Oceania (UN),,2080,,0.61353004
Oceania (UN),,2100,,0.43618003
World,OWID_WRL,1950,22.40098,
World,OWID_WRL,1960,21.73965,
World,OWID_WRL,1980,11.745649,
World,OWID_WRL,2000,7.55778,
World,OWID_WRL,2020,3.76451,
World,OWID_WRL,2040,,2.78548
World,OWID_WRL,2060,,2.12622
World,OWID_WRL,2080,,1.6129601
World,OWID_WRL,2100,,1.26088
