Entity,Code,Year,Share of the population using safely managed drinking water services
High-income countries,,2000,91.99931
High-income countries,,2005,92.42654
High-income countries,,2010,94.671776
High-income countries,,2015,95.20317
High-income countries,,2020,95.58504
High-income countries,,2022,94.30306
Low-income countries,,2000,18.910685
Low-income countries,,2005,20.22457
Low-income countries,,2010,22.526253
Low-income countries,,2015,24.181213
Low-income countries,,2020,27.416277
Low-income countries,,2022,28.60295
Lower-middle-income countries,,2000,44.099976
Lower-middle-income countries,,2005,48.152622
Lower-middle-income countries,,2010,52.500965
Lower-middle-income countries,,2015,57.743202
Lower-middle-income countries,,2020,62.322414
Lower-middle-income countries,,2022,63.799328
Upper-middle-income countries,,2000,69.02202
Upper-middle-income countries,,2005,72.19998
Upper-middle-income countries,,2010,75.21376
Upper-middle-income countries,,2015,77.816414
Upper-middle-income countries,,2020,80.01458
Upper-middle-income countries,,2022,80.620705
World,OWID_WRL,2000,60.81622
World,OWID_WRL,2005,63.655815
World,OWID_WRL,2010,65.897514
World,OWID_WRL,2015,69.0584
World,OWID_WRL,2020,72.25363
World,OWID_WRL,2022,72.927155
