Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_TOTG"
Australia,AUS,2000,0.27
Australia,AUS,2002,0.26
Australia,AUS,2004,0.25
Australia,AUS,2006,0.3
Australia,AUS,2008,0.32
Australia,AUS,2010,0.32
Australia,AUS,2012,0.36
Australia,AUS,2014,0.31
Australia,AUS,2016,0.27
Australia,AUS,2017,0.23
New Zealand,NZL,2000,0.25
New Zealand,NZL,2002,0.22
New Zealand,NZL,2004,0.23
New Zealand,NZL,2006,0.27
New Zealand,NZL,2008,0.3
New Zealand,NZL,2010,0.26
New Zealand,NZL,2012,0.28
New Zealand,NZL,2014,0.27
New Zealand,NZL,2016,0.25
New Zealand,NZL,2017,0.23
Spain,ESP,2000,0.22
Spain,ESP,2002,0.26
Spain,ESP,2004,0.24
Spain,ESP,2006,0.32
Spain,ESP,2008,0.45
Spain,ESP,2010,0.43
Spain,ESP,2012,0.16
Spain,ESP,2014,0.13
Spain,ESP,2016,0.34
Spain,ESP,2017,0.19
