Entity,Code,Year,int_auton_vdem_owid,int_auton_vdem_high_owid,int_auton_vdem_low_owid
Argentina,ARG,1789,-0.979,-0.308,-1.567
Argentina,ARG,1850,1.781,2.394,0.933
Argentina,ARG,1900,1.781,2.394,0.933
Argentina,ARG,1950,1.706,2.39,0.927
Argentina,ARG,2000,1.366,1.807,0.723
Argentina,ARG,2022,1.148,1.638,0.425
Australia,AUS,1789,-2.157,-1.236,-2.927
Australia,AUS,1850,-2.157,-1.236,-2.927
Australia,AUS,1900,-0.204,0.14,-0.512
Australia,AUS,1950,2.044,2.615,1.292
Australia,AUS,2000,2.044,2.615,1.292
Australia,AUS,2022,2.044,2.615,1.292
Botswana,BWA,1900,-3.006,-2.256,-3.885
Botswana,BWA,1950,-3.006,-2.256,-3.885
Botswana,BWA,2000,1.794,2.289,1.052
Botswana,BWA,2022,1.342,1.841,0.59
China,CHN,1789,-0.124,0.593,-0.964
China,CHN,1850,-0.092,0.652,-0.919
China,CHN,1900,-0.598,-0.251,-0.882
China,CHN,1950,1.376,1.89,0.77
China,CHN,2000,2.415,3.052,1.743
China,CHN,2022,2.415,3.052,1.743
