Entity,Code,Year,"Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Australia,AUS,1950,493.1095
Australia,AUS,1960,488.99515
Australia,AUS,1970,497.55493
Australia,AUS,1980,346.9838
Australia,AUS,1990,239.63553
Australia,AUS,2000,154.0971
Australia,AUS,2010,99.70675
Australia,AUS,2021,70.08532
Brazil,BRA,1980,305.28775
Brazil,BRA,1990,289.1401
Brazil,BRA,2000,227.87212
Brazil,BRA,2010,193.46474
Canada,CAN,1950,469.76743
Canada,CAN,1960,457.7951
Canada,CAN,1970,383.19122
Canada,CAN,1980,296.58853
Canada,CAN,1990,203.06787
Canada,CAN,2000,149.12917
Canada,CAN,2010,96.02603
France,FRA,1950,319.75244
France,FRA,1960,288.52542
France,FRA,1970,257.9462
France,FRA,1980,219.71951
France,FRA,1990,152.611
France,FRA,2000,123.24474
France,FRA,2010,83.51001
Germany,DEU,1990,295.7496
Germany,DEU,2000,215.06265
Germany,DEU,2010,152.61641
Hungary,HUN,1960,455.57812
Hungary,HUN,1970,516.2465
Hungary,HUN,1980,517.12854
Hungary,HUN,1990,483.55215
Hungary,HUN,2000,408.47653
Hungary,HUN,2010,311.54776
Russia,RUS,1980,540.51624
Russia,RUS,1990,501.47797
Russia,RUS,2000,602.8271
Russia,RUS,2010,508.66122
South Africa,ZAF,2000,314.50928
South Africa,ZAF,2010,299.98862
Thailand,THA,1970,35.7209
Thailand,THA,1980,80.53182
Thailand,THA,1990,99.87001
Thailand,THA,2000,58.540257
Thailand,THA,2010,59.436314
United States,USA,1950,531.70526
United States,USA,1960,498.40283
United States,USA,1970,439.4429
United States,USA,1980,326.03244
United States,USA,1990,245.41653
United States,USA,2000,198.92432
United States,USA,2010,138.3458
