Entity,Code,Year,Sesame seed | 00000289 || Production | 005510 || tonnes
Brazil,BRA,1961,3000.0
Brazil,BRA,1970,4000.0
Brazil,BRA,1980,3000.0
Brazil,BRA,1990,12000.0
Brazil,BRA,2000,15000.0
Brazil,BRA,2010,5000.0
Brazil,BRA,2021,62000.0
China,CHN,1961,191000.0
China,CHN,1970,263000.0
China,CHN,1980,259000.0
China,CHN,1990,469258.0
China,CHN,2000,811190.0
China,CHN,2010,587000.0
China,CHN,2021,455400.0
India,IND,1961,372000.0
India,IND,1970,562300.0
India,IND,1980,445800.0
India,IND,1990,835300.0
India,IND,2000,517800.0
India,IND,2010,893000.0
India,IND,2021,817000.0
United States,USA,1961,1361.0
United States,USA,1990,0.0
United States,USA,2000,0.0
United States,USA,2010,0.0
United States,USA,2021,0.0
