Entity,Code,Year,Accumulated ocean plastic: Microplastics (<0.5cm)
Emissions growth to 2050,,1950,0
Emissions growth to 2050,,1960,600
Emissions growth to 2050,,1980,22000
Emissions growth to 2050,,2000,154500
Emissions growth to 2050,,2020,594000
Emissions growth to 2050,,2040,1682100
Emissions growth to 2050,,2050,2652700
Emissions level to 2020,,1950,0
Emissions level to 2020,,1960,600
Emissions level to 2020,,1980,22000
Emissions level to 2020,,2000,154500
Emissions level to 2020,,2020,594000
Emissions level to 2020,,2040,1584100
Emissions level to 2020,,2050,2276000
Emissions stop in 2020,,1950,0
Emissions stop in 2020,,1960,600
Emissions stop in 2020,,1980,22000
Emissions stop in 2020,,2000,154500
Emissions stop in 2020,,2020,594000
Emissions stop in 2020,,2040,1223300
Emissions stop in 2020,,2050,1477200
