Entity,Code,Year,"11.4.1 - Total expenditure per capita spent on cultural and natural heritage, public and private (PPP, constant 2017 United States dollars) - GB_XPD_CULNAT_PBPV"
Finland,FIN,2017,197.06
Finland,FIN,2018,201.51
Finland,FIN,2019,196.9
Finland,FIN,2020,213.82
Mexico,MEX,2018,16.86
Mexico,MEX,2019,13.64
Mexico,MEX,2020,10.3
Mexico,MEX,2021,11.54
Poland,POL,2019,104.39
Poland,POL,2020,99.12
Poland,POL,2021,94.4
Portugal,PRT,2018,50.51
Portugal,PRT,2019,51.39
Portugal,PRT,2020,42.0
Spain,ESP,2017,71.19
Spain,ESP,2018,74.24
Spain,ESP,2019,79.77
Spain,ESP,2020,61.72
Sweden,SWE,2018,108.34
Sweden,SWE,2019,95.37
Sweden,SWE,2020,97.73
Sweden,SWE,2021,130.31
