Entity,Code,Year,Very important in life: Leisure time,Rather important in life: Leisure time,Not very important in life: Leisure time,Not at all important in life: Leisure time,Don't know: Important in life: Leisure time,No answer: Important in life: Leisure time
Chile,CHL,2022,59.55715,33.10773,5.708842,1.06704,0.2745234,0.284708
China,CHN,2022,20.62759,49.98117,27.54402,1.572922,0.0,0.2742973
Finland,FIN,2022,58.51768,35.05418,4.858475,0.329811,0.3951114,0.8447486
Georgia,GEO,2022,29.28826,51.68237,15.34023,2.985651,0.5920826,0.1114095
Italy,ITA,2022,36.12099,54.64355,8.263009,0.7185758,0.1510131,0.1028565
Libya,LBY,2022,32.57957,37.26968,21.94305,7.956449,0.1675042,0.0837521
Nigeria,NGA,2022,67.48545,25.6761,5.954014,0.7125054,0.0731232,0.0987988
Poland,POL,2022,41.67324,52.48863,3.90176,1.260403,0.3832485,0.2927125
South Korea,KOR,2022,24.09639,67.46988,8.433735,,,0.0
Taiwan,TWN,2022,42.26987,44.87279,11.86218,0.9951589,0.0,0.0
United Kingdom,GBR,2022,48.4613,43.9712,6.365985,1.078669,0.1228467,0.0
Zimbabwe,ZWE,2022,38.84774,41.72839,16.04938,3.374486,0.0,0.0
