Entity,Code,Year,"Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)",Population (historical estimates),Continent
Afghanistan,AFG,2016,,,34636212.0,
Africa,,2016,,,1232111820.0,
Asia,,2016,,,4502955714.0,
Bangladesh,BGD,2016,,,159784576.0,
Cameroon,CMR,2016,,,23711626.0,
Chad,TCD,2016,,,14592587.0,
Congo,COG,2016,,,5186830.0,
Democratic Republic of Congo,COD,2016,,,81430976.0,
Dominican Republic,DOM,2016,,,10527589.0,
Ethiopia,ETH,2016,,,105293232.0,
Europe,,2016,,,744516175.0,
Gambia,GMB,2016,,,2317212.0,
Ghana,GHA,2016,,,29554298.0,
Guinea,GIN,2016,,,11930991.0,
India,IND,2016,,,1338636288.0,
Jordan,JOR,2016,0.4,2.01,9964659.0,
Kyrgyzstan,KGZ,2016,,,6018303.0,
Nicaragua,NIC,2016,,,6389237.0,
Niger,NER,2016,,,20921748.0,
Nigeria,NGA,2016,,,188666928.0,
North America,,2016,,,576008328.0,
Pakistan,PAK,2016,,,213524848.0,
Peru,PER,2016,,,31132776.0,
Philippines,PHL,2016,,,104875272.0,
Senegal,SEN,2016,,,14751356.0,
Serbia,SRB,2016,,,7493288.0,
Sierra Leone,SLE,2016,,,7493918.0,
South America,,2016,,,417101806.0,
Sudan,SDN,2016,,,39377168.0,
Togo,TGO,2016,,,7661361.0,
Venezuela,VEN,2016,,,30741464.0,
Vietnam,VNM,2016,,,93126528.0,
