Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number)
Norway,NOR,1990,0
Norway,NOR,1995,0
Norway,NOR,2000,0
Norway,NOR,2005,0
Norway,NOR,2010,0
Norway,NOR,2015,0
Norway,NOR,2019,0
Slovenia,SVN,1990,0
Slovenia,SVN,1995,0
Slovenia,SVN,2000,0
Slovenia,SVN,2005,0
Slovenia,SVN,2010,0
Slovenia,SVN,2015,0
Slovenia,SVN,2019,0
World,OWID_WRL,1990,553826
World,OWID_WRL,1995,569305
World,OWID_WRL,2000,586988
World,OWID_WRL,2005,614166
World,OWID_WRL,2010,571023
World,OWID_WRL,2015,432893
World,OWID_WRL,2019,356363
