Entity,Code,Year,Share of the population not using improved sanitation facilities
"Bonaire, Sint Eustatius and Saba",,2000,1.4165878
"Bonaire, Sint Eustatius and Saba",,2005,1.0230942
"Bonaire, Sint Eustatius and Saba",,2010,0.6295929
"Bonaire, Sint Eustatius and Saba",,2015,0.23609924
"Bonaire, Sint Eustatius and Saba",,2020,0.0
"Bonaire, Sint Eustatius and Saba",,2022,0.0
Isle of Man,IMN,2000,0.0
Isle of Man,IMN,2005,0.0
Isle of Man,IMN,2010,0.0
Isle of Man,IMN,2015,0.0
Isle of Man,IMN,2020,0.0
Isle of Man,IMN,2022,0.0
Jamaica,JAM,2000,3.151703
Jamaica,JAM,2005,2.5444565
Jamaica,JAM,2010,1.9592514
Jamaica,JAM,2015,1.3943329
Jamaica,JAM,2020,1.0509415
Jamaica,JAM,2022,1.056694
Lithuania,LTU,2000,13.395828
Lithuania,LTU,2005,11.194679
Lithuania,LTU,2010,8.876839
Lithuania,LTU,2015,6.5228653
Lithuania,LTU,2020,4.1810913
Lithuania,LTU,2022,3.258461
Niger,NER,2000,90.59009
Niger,NER,2005,86.80071
Niger,NER,2010,83.0457
Niger,NER,2015,79.26551
Niger,NER,2020,75.25499
Niger,NER,2022,73.56099
