Entity,Code,Year,Population in the largest city (% of urban population)
Bahrain,BHR,1960,49.05315
Bahrain,BHR,1970,47.231625
Bahrain,BHR,1980,36.150776
Bahrain,BHR,1990,27.601019
Bahrain,BHR,2000,22.539112
Bahrain,BHR,2010,27.161055
Bahrain,BHR,2021,50.62448
Belarus,BLR,1960,20.732737
Belarus,BLR,1970,23.414982
Belarus,BLR,1980,24.223316
Belarus,BLR,1990,24.059732
Belarus,BLR,2000,24.350107
Belarus,BLR,2010,26.123285
Belarus,BLR,2021,27.315975
Israel,ISR,1960,45.436794
Israel,ISR,1970,41.10195
Israel,ISR,1980,39.458885
Israel,ISR,1990,42.062263
Israel,ISR,2000,47.75978
Israel,ISR,2010,47.290264
Israel,ISR,2021,49.132847
Nicaragua,NIC,1960,28.03515
Nicaragua,NIC,1970,31.851042
Nicaragua,NIC,1980,31.583338
Nicaragua,NIC,1990,32.745804
Nicaragua,NIC,2000,31.367584
Nicaragua,NIC,2010,29.761547
Nicaragua,NIC,2021,26.419752
Syria,SYR,1960,34.203995
Syria,SYR,1970,33.354874
Syria,SYR,1980,33.102955
Syria,SYR,1990,27.848417
Syria,SYR,2000,26.013096
Syria,SYR,2010,24.787247
Syria,SYR,2021,20.385996
