Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sex per 100,000 people, in both sexes aged age-standardized"
Botswana,BWA,1990,105.638916
Botswana,BWA,1995,538.87054
Botswana,BWA,2000,1072.3759
Botswana,BWA,2005,759.9895
Botswana,BWA,2010,396.2751
Botswana,BWA,2015,295.43155
Botswana,BWA,2019,261.71497
Mali,MLI,1990,19.574808
Mali,MLI,1995,42.41572
Mali,MLI,2000,71.97622
Mali,MLI,2005,74.19115
Mali,MLI,2010,50.325855
Mali,MLI,2015,53.495262
Mali,MLI,2019,37.79434
South Africa,ZAF,1990,15.936075
South Africa,ZAF,1995,85.10809
South Africa,ZAF,2000,348.7738
South Africa,ZAF,2005,590.8792
South Africa,ZAF,2010,451.6315
South Africa,ZAF,2015,292.665
South Africa,ZAF,2019,240.15288
