Entity,Code,Year,Tea | 00000667 || Production | 005510 || tonnes
Africa,,1961,56315
Africa,,1965,72418
Africa,,1970,121398
Africa,,1975,154792
Africa,,1980,200307
Africa,,1985,270108
Africa,,1990,324892
Asia,,1961,874875
Asia,,1965,950032
Asia,,1970,1063242
Asia,,1975,1252436
Asia,,1980,1504396
Asia,,1985,1816235
Asia,,1990,1991339
Europe,,1961,39720
Europe,,1965,48565
Europe,,1970,67112
Europe,,1975,86574
Europe,,1980,130075
Europe,,1985,152546
Europe,,1990,135884
North America,,1975,100
North America,,1980,100
North America,,1985,372
North America,,1990,676
Oceania,,1961,10
Oceania,,1965,15
Oceania,,1970,749
Oceania,,1975,4714
Oceania,,1980,8361
Oceania,,1985,8080
Oceania,,1990,6985
South America,,1961,12865
South America,,1965,21601
South America,,1970,34256
South America,,1975,50731
South America,,1980,50288
South America,,1985,60193
South America,,1990,64894
