Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: 15-49 years (Rate)
Bahrain,BHR,1990,2.66
Bahrain,BHR,1995,2.94
Bahrain,BHR,2000,3.59
Bahrain,BHR,2005,3.63
Bahrain,BHR,2010,3.35
Bahrain,BHR,2015,2.63
Bahrain,BHR,2019,2.24
Chad,TCD,1990,8.01
Chad,TCD,1995,8.44
Chad,TCD,2000,11.87
Chad,TCD,2005,10.38
Chad,TCD,2010,10.32
Chad,TCD,2015,10.44
Chad,TCD,2019,11.55
Eastern Mediterranean Region (WHO),,1990,6.47
Eastern Mediterranean Region (WHO),,1995,6.97
Eastern Mediterranean Region (WHO),,2000,6.86
Eastern Mediterranean Region (WHO),,2005,7.2
Eastern Mediterranean Region (WHO),,2010,7.71
Eastern Mediterranean Region (WHO),,2015,7.43
Eastern Mediterranean Region (WHO),,2019,6.45
Gabon,GAB,1990,8.12
Gabon,GAB,1995,8.16
Gabon,GAB,2000,7.2
Gabon,GAB,2005,7.26
Gabon,GAB,2010,7.26
Gabon,GAB,2015,6.87
Gabon,GAB,2019,6.55
Namibia,NAM,1990,29.84
Namibia,NAM,1995,32.48
Namibia,NAM,2000,39.2
Namibia,NAM,2005,38.04
Namibia,NAM,2010,35.61
Namibia,NAM,2015,32.26
Namibia,NAM,2019,30.46
Palau,PLW,1990,18.98
Palau,PLW,1995,16.83
Palau,PLW,2000,17.06
Palau,PLW,2005,17.56
Palau,PLW,2010,16.55
Palau,PLW,2015,15.98
Palau,PLW,2019,15.38
Singapore,SGP,1990,2.17
Singapore,SGP,1995,2.01
Singapore,SGP,2000,1.79
Singapore,SGP,2005,0.83
Singapore,SGP,2010,0.62
Singapore,SGP,2015,0.39
Singapore,SGP,2019,0.43
