Entity,Code,Year,Gini index (SEDLAC)
Bolivia,BOL,2000,0.5985646
Bolivia,BOL,2005,0.56558946
Bolivia,BOL,2015,0.44545837
Bolivia,BOL,2017,0.41813929
Brazil,BRA,1981,0.55266283
Brazil,BRA,1985,0.53084866
Brazil,BRA,1990,0.58861536
Brazil,BRA,1995,0.57842319
Brazil,BRA,2005,0.54334933
Brazil,BRA,2015,0.4953849
Chile,CHL,1990,0.55937807
Chile,CHL,2000,0.51705373
Chile,CHL,2015,0.43388865
Colombia,COL,2005,0.52103731
Colombia,COL,2010,0.52464852
Colombia,COL,2015,0.48795079
Ecuador,ECU,1995,0.55891139
Ecuador,ECU,2000,0.5466864
Ecuador,ECU,2005,0.50944563
Ecuador,ECU,2010,0.46394457
Ecuador,ECU,2015,0.4353211
El Salvador,SLV,2000,0.49254175
El Salvador,SLV,2005,0.46391589
El Salvador,SLV,2010,0.41382307
El Salvador,SLV,2015,0.38359633
Mexico,MEX,2000,0.50459705
Mexico,MEX,2005,0.48091063
Mexico,MEX,2010,0.44882933
Nicaragua,NIC,2005,0.46407107
Peru,PER,2000,0.47046411
Peru,PER,2005,0.48502278
Peru,PER,2010,0.43787548
Peru,PER,2015,0.41502203
Uruguay,URY,1995,0.38561101
Uruguay,URY,2000,0.4024572
Uruguay,URY,2005,0.42406096
Uruguay,URY,2010,0.42134382
Uruguay,URY,2015,0.37814466
