Entity,Code,Year,Deaths - Substance use disorders - Sex: Both - Age: All Ages (Number)
Brazil,BRA,1990,4781
Brazil,BRA,1995,5764
Brazil,BRA,2000,6991
Brazil,BRA,2005,8492
Brazil,BRA,2010,9736
Brazil,BRA,2015,10001
Brazil,BRA,2019,10832
Cambodia,KHM,1990,126
Cambodia,KHM,1995,142
Cambodia,KHM,2000,146
Cambodia,KHM,2005,132
Cambodia,KHM,2010,139
Cambodia,KHM,2015,154
Cambodia,KHM,2019,170
Canada,CAN,1990,1133
Canada,CAN,1995,1459
Canada,CAN,2000,1797
Canada,CAN,2005,2117
Canada,CAN,2010,2557
Canada,CAN,2015,3344
Canada,CAN,2019,3887
Russia,RUS,1990,31572
Russia,RUS,1995,58278
Russia,RUS,2000,60433
Russia,RUS,2005,64982
Russia,RUS,2010,44329
Russia,RUS,2015,35208
Russia,RUS,2019,34337
United Kingdom,GBR,1990,1300
United Kingdom,GBR,1995,1858
United Kingdom,GBR,2000,2970
United Kingdom,GBR,2005,3671
United Kingdom,GBR,2010,4194
United Kingdom,GBR,2015,4438
United Kingdom,GBR,2019,4416
United States,USA,1990,12628
United States,USA,1995,15950
United States,USA,2000,23244
United States,USA,2005,35970
United States,USA,2010,43629
United States,USA,2015,63091
United States,USA,2019,79761
