Entity,Code,Year,Deaths - Diabetes mellitus - Sex: Both - Age: Age-standardized (Rate)
Ethiopia,ETH,1990,57.91
Ethiopia,ETH,1995,52.85
Ethiopia,ETH,2000,47.54
Ethiopia,ETH,2005,42.01
Ethiopia,ETH,2010,37.52
Ethiopia,ETH,2015,35.65
Ethiopia,ETH,2019,36.0
Jordan,JOR,1990,65.44
Jordan,JOR,1995,64.67
Jordan,JOR,2000,66.97
Jordan,JOR,2005,67.57
Jordan,JOR,2010,48.79
Jordan,JOR,2015,41.48
Jordan,JOR,2019,41.05
Sri Lanka,LKA,1990,27.28
Sri Lanka,LKA,1995,32.84
Sri Lanka,LKA,2000,42.41
Sri Lanka,LKA,2005,55.96
Sri Lanka,LKA,2010,64.87
Sri Lanka,LKA,2015,65.27
Sri Lanka,LKA,2019,59.28
