Entity,Code,Year,Population (historical estimates)
China,CHN,1950,543979200
China,CHN,1960,654170688
China,CHN,1970,822534464
China,CHN,1980,982372480
China,CHN,1990,1153704192
China,CHN,2000,1264099072
China,CHN,2010,1348191360
China,CHN,2021,1425893504
India,IND,1950,357021120
India,IND,1960,445954560
India,IND,1970,557501312
India,IND,1980,696828352
India,IND,1990,870452160
India,IND,2000,1059633664
India,IND,2010,1240613632
India,IND,2021,1407563904
United States,USA,1950,148281552
United States,USA,1960,176188576
United States,USA,1970,200328336
United States,USA,1980,223140016
United States,USA,1990,248083728
United States,USA,2000,282398560
United States,USA,2010,311182848
United States,USA,2021,336997632
