Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Overweight or Obese (NCDRisC (2017)),Population (historical estimates),Continent
Afghanistan,AFG,2013,2090.0,19.5,31541216.0,
Afghanistan,AFG,2014,2095.0,20.2,32716214.0,
Africa,,2013,2631.2826106038083,,1140180888.0,
Africa,,2014,2624.316674474765,,1170299297.0,
Algeria,DZA,2013,3296.0,60.8,38000628.0,
Algeria,DZA,2014,3377.0,61.3,38760168.0,
Antigua and Barbuda,ATG,2013,2417.0,65.2,88512.0,
Antigua and Barbuda,ATG,2014,2400.0,65.8,89252.0,
Asia,,2013,2760.2490100974555,,4365286895.0,
Asia,,2014,2779.58118618096,,4412496398.0,
Australia,AUS,2013,3276.0,57.0,23111788.0,
Australia,AUS,2014,3407.0,57.6,23469578.0,
Bahamas,BHS,2013,2670.0,66.8,385660.0,
Bahamas,BHS,2014,2636.0,67.1,389137.0,
Belgium,BEL,2013,3733.0,50.3,11103260.0,
Belgium,BEL,2014,3789.0,50.5,11176727.0,
Bolivia,BOL,2013,2256.0,56.7,10743352.0,
Bolivia,BOL,2014,2310.0,57.3,10916991.0,
Bosnia and Herzegovina,BIH,2013,3154.0,44.1,3617564.0,
Bosnia and Herzegovina,BIH,2014,3200.0,44.1,3571070.0,
Brazil,BRA,2013,3263.0,52.5,201721776.0,
Brazil,BRA,2014,3303.0,53.0,203459648.0,
Chad,TCD,2013,2110.0,29.8,13216769.0,
Chad,TCD,2014,2147.0,30.6,13697128.0,
Chile,CHL,2013,2979.0,62.7,17509926.0,
Chile,CHL,2014,3008.0,63.1,17687108.0,
China,CHN,2013,3108.0,32.4,1376100352.0,
China,CHN,2014,3151.0,33.1,1385189632.0,
Colombia,COL,2013,2804.0,57.6,46237928.0,
Colombia,COL,2014,2922.0,58.0,46677944.0,
Congo,COG,2013,2208.0,36.1,4828073.0,
Congo,COG,2014,2221.0,36.7,4944865.0,
Ecuador,ECU,2013,2344.0,57.5,15722988.0,
Ecuador,ECU,2014,2612.0,58.1,15957995.0,
Egypt,EGY,2013,3522.0,69.6,93377896.0,
Egypt,EGY,2014,3388.0,70.2,95592328.0,
Europe,,2013,3398.3349639370217,,741180502.0,
Europe,,2014,3381.4990970700032,,742190861.0,
Fiji,FJI,2013,2943.0,67.1,913467.0,
Fiji,FJI,2014,2751.0,67.5,915576.0,
French Polynesia,PYF,2013,2927.0,82.2,288037.0,
French Polynesia,PYF,2014,2958.0,82.4,289880.0,
Gambia,GMB,2013,2628.0,35.1,2124876.0,
Gambia,GMB,2014,2593.0,35.9,2189023.0,
Germany,DEU,2013,3499.0,48.3,81680592.0,
Germany,DEU,2014,3541.0,48.6,81858824.0,
Ghana,GHA,2013,3016.0,41.6,27525586.0,
Ghana,GHA,2014,2982.0,42.6,28196356.0,
Grenada,GRD,2013,2447.0,61.0,116954.0,
Grenada,GRD,2014,2366.0,61.7,117986.0,
Guatemala,GTM,2013,2419.0,56.9,15422663.0,
Guatemala,GTM,2014,2447.0,57.5,15713744.0,
Haiti,HTI,2013,2091.0,44.6,10261205.0,
Haiti,HTI,2014,2143.0,45.3,10412741.0,
India,IND,2013,2459.0,21.1,1291132032.0,
India,IND,2014,2460.0,21.7,1307246464.0,
Indonesia,IDN,2013,2777.0,27.5,253275920.0,
Indonesia,IDN,2014,2819.0,28.3,256229760.0,
Iraq,IRQ,2013,2545.0,63.1,35481804.0,
Iraq,IRQ,2014,2597.0,63.7,36746484.0,
Ireland,IRL,2013,3600.0,54.3,4588830.0,
Ireland,IRL,2014,3654.0,55.0,4622165.0,
Italy,ITA,2013,3579.0,52.8,60312600.0,
Italy,ITA,2014,3487.0,53.2,60322792.0,
Japan,JPN,2013,2726.0,18.8,127678920.0,
Japan,JPN,2014,2720.0,18.8,127476728.0,
Jordan,JOR,2013,3100.0,69.7,7694818.0,
Jordan,JOR,2014,2866.0,70.1,8658030.0,
Kenya,KEN,2013,2206.0,33.1,44792368.0,
Kenya,KEN,2014,2183.0,34.0,45831860.0,
Kyrgyzstan,KGZ,2013,2817.0,47.2,5719561.0,
Kyrgyzstan,KGZ,2014,2713.0,47.9,5814426.0,
Lesotho,LSO,2013,2529.0,51.5,2073948.0,
Lesotho,LSO,2014,2356.0,52.4,2095251.0,
Madagascar,MDG,2013,2052.0,27.1,23588078.0,
Madagascar,MDG,2014,1986.0,27.7,24215980.0,
Malaysia,MYS,2013,2916.0,38.4,30134806.0,
Malaysia,MYS,2014,2831.0,39.1,30606454.0,
Mexico,MEX,2013,3072.0,64.7,117290680.0,
Mexico,MEX,2014,3132.0,65.2,118755888.0,
Moldova,MDA,2013,2714.0,46.8,3416532.0,
Moldova,MDA,2014,2348.0,47.1,3338338.0,
Myanmar,MMR,2013,2571.0,22.5,50648336.0,
Myanmar,MMR,2014,2653.0,23.3,51072436.0,
Namibia,NAM,2013,2171.0,49.8,2204517.0,
Namibia,NAM,2014,2369.0,50.5,2243008.0,
Niger,NER,2013,2547.0,25.1,18653204.0,
Niger,NER,2014,2556.0,25.7,19372012.0,
Nigeria,NGA,2013,2700.0,38.6,174726128.0,
Nigeria,NGA,2014,2626.0,39.6,179379024.0,
North America,,2013,3385.098818133765,,560056144.0,
North America,,2014,3412.963387870096,,565486685.0,
North Korea,PRK,2013,2094.0,22.0,25001824.0,
North Korea,PRK,2014,2087.0,22.1,25126140.0,
North Macedonia,MKD,2013,2949.0,47.1,2102220.0,
North Macedonia,MKD,2014,2955.0,47.2,2105293.0,
Oceania,,2013,3101.8838218616816,,39057783.0,
Oceania,,2014,3148.882025520549,,39729340.0,
