Entity,Code,Year,"The totalpopulation using at least basic sanitation services, improved sanitation facilities which are not shared"
China,CHN,2000,730873540.0
China,CHN,2005,876369860.0
China,CHN,2010,1039440450.0
China,CHN,2015,1200665500.0
China,CHN,2020,1345187200.0
China,CHN,2022,1390229000.0
India,IND,2000,149257470.0
India,IND,2005,324332670.0
India,IND,2010,529845200.0
India,IND,2015,764295600.0
India,IND,2020,1013429440.0
India,IND,2022,1110901600.0
World,OWID_WRL,2000,3410842600.0
World,OWID_WRL,2005,3996556000.0
World,OWID_WRL,2010,4680053000.0
World,OWID_WRL,2015,5418016300.0
World,OWID_WRL,2020,6153400300.0
World,OWID_WRL,2022,6441445400.0
