Entity,Code,Year,Annual CO₂ emissions from oil
Cyprus,CYP,1950,263757.0
Cyprus,CYP,2000,6183113.0
Cyprus,CYP,2022,5973076.0
Iraq,IRQ,1950,1612160.0
Iraq,IRQ,2000,61679776.0
Iraq,IRQ,2022,100993630.0
Moldova,MDA,1830,0.0
Moldova,MDA,1850,0.0
Moldova,MDA,1900,458989.0
Moldova,MDA,1950,2471110.0
Moldova,MDA,2000,1282400.0
Moldova,MDA,2022,2991585.0
Panama,PAN,1950,498304.0
Panama,PAN,2000,5165881.0
Panama,PAN,2022,7842501.0
Panama Canal Zone (GCP),,1950,186864.0
Saint Helena,SHN,2000,10992.0
Saint Helena,SHN,2022,17816.0
Saudi Arabia,SAU,1950,5140592.0
Saudi Arabia,SAU,2000,198371410.0
Saudi Arabia,SAU,2022,350887170.0
Trinidad and Tobago,TTO,1950,1390822.0
Trinidad and Tobago,TTO,2000,4272224.0
Trinidad and Tobago,TTO,2022,3349470.0
