Entity,Code,Year,"Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) "
Albania,ALB,2000,57.75
Albania,ALB,2010,61.32
Albania,ALB,2015,70.65
India,IND,2010,52.16
Kyrgyzstan,KGZ,2010,51.09
Liechtenstein,LIE,2000,90.52
Liechtenstein,LIE,2010,94.71
Morocco,MAR,2000,44.66
Morocco,MAR,2010,49.28
Morocco,MAR,2015,56.91
Netherlands,NLD,1970,83.75
Netherlands,NLD,1980,86.21
Netherlands,NLD,1990,88.95
Netherlands,NLD,2000,96.27
Netherlands,NLD,2010,93.6
Netherlands,NLD,2015,91.75
North Macedonia,MKD,2000,75.87
North Macedonia,MKD,2010,74.39
North Macedonia,MKD,2015,58.02
