Entity,Code,Year,"Access to electricity, urban (% of urban population)","Access to electricity, rural (% of rural population)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,97.8,95.21197,167420944.0,
Benin,BEN,2020,66.145386,18.19651,12643121.0,
Burundi,BDI,2020,63.67844,3.4841194,12220229.0,
Cameroon,CMR,2020,94.02661,24.975613,26491090.0,
Central African Republic,CAF,2020,33.56292,2.2528667,5343024.0,
China,CHN,2020,100.0,100.0,1424929792.0,
Democratic Republic of Congo,COD,2020,40.65993,1.0,92853168.0,
Equatorial Guinea,GNQ,2020,90.966965,0.93263,1596057.0,
Eritrea,ERI,2020,76.30296,39.024685,3555869.0,
Ethiopia,ETH,2020,93.247925,39.41491,117190920.0,
Europe,,2020,,,747462669.0,
Gambia,GMB,2020,80.6349,31.562685,2574005.0,
Ghana,GHA,2020,94.71048,73.99132,32180402.0,
Guinea,GIN,2020,88.08341,19.307596,13205157.0,
Guinea-Bissau,GNB,2020,56.274494,15.16809,2015839.0,
Haiti,HTI,2020,80.54475,2.2001975,11306804.0,
Kiribati,KIR,2020,88.38953,96.4369,126473.0,
Liberia,LBR,2020,45.172573,8.358771,5087591.0,
Low-income countries,,2020,70.09796,30.440434,680258922.0,
Madagascar,MDG,2020,70.16197,10.898485,28225182.0,
Malawi,MWI,2020,53.98027,6.6118803,19377058.0,
Mali,MLI,2020,94.08896,16.487305,21224042.0,
Mozambique,MOZ,2020,74.96322,4.468691,31178242.0,
Myanmar,MMR,2020,93.03387,60.159916,53423200.0,
Niger,NER,2020,48.391,13.441148,24333644.0,
Nigeria,NGA,2020,83.9,24.576908,208327408.0,
North America,,2020,,,594263186.0,
North Korea,PRK,2020,43.345455,67.184715,25867474.0,
Oceania,,2020,,,43933757.0,
Pakistan,PAK,2020,100.0,60.817524,227196736.0,
Senegal,SEN,2020,95.17643,47.357533,16436120.0,
Solomon Islands,SLB,2020,77.31655,72.04631,691198.0,
South Africa,ZAF,2020,88.80627,75.264854,58801928.0,
South America,,2020,,,431530105.0,
South Sudan,SSD,2020,13.868669,5.5638475,10606224.0,
Sudan,SDN,2020,81.517654,41.163734,44440484.0,
Tanzania,TZA,2020,72.9,21.952847,61704520.0,
World,OWID_WRL,2020,97.23524,82.54438,7840952832.0,
Zambia,ZMB,2020,82.38262,14.010825,18927716.0,
Zimbabwe,ZWE,2020,85.71548,37.06025,15669663.0,
