Entity,Code,Year,"Number of new cases of malaria per 100,000 people, in both sexes aged all ages"
Bermuda,BMU,1990,0.0
Bermuda,BMU,1995,0.0
Bermuda,BMU,2000,0.0
Bermuda,BMU,2005,0.0
Bermuda,BMU,2010,0.0
Bermuda,BMU,2015,0.0
Bermuda,BMU,2019,0.0
Cape Verde,CPV,1990,0.010738616
Cape Verde,CPV,1995,0.016018718
Cape Verde,CPV,2000,0.7410347
Cape Verde,CPV,2005,0.23934088
Cape Verde,CPV,2010,0.20393438
Cape Verde,CPV,2015,0.02011401
Cape Verde,CPV,2019,6.083011
Eastern Mediterranean Region (WHO),,1990,32.41521
Eastern Mediterranean Region (WHO),,1995,26.480303
Eastern Mediterranean Region (WHO),,2000,20.473451
Eastern Mediterranean Region (WHO),,2005,12.866146
Eastern Mediterranean Region (WHO),,2010,10.675044
Eastern Mediterranean Region (WHO),,2015,9.863249
Eastern Mediterranean Region (WHO),,2019,12.184808
Russia,RUS,1990,0.0
Russia,RUS,1995,0.0
Russia,RUS,2000,0.0
Russia,RUS,2005,0.0
Russia,RUS,2010,0.0
Russia,RUS,2015,0.0
Russia,RUS,2019,0.0
