Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)"
Chile,CHL,2000,672.1103
Chile,CHL,2005,839.83606
Chile,CHL,2010,1230.4427
Chile,CHL,2015,1884.5907
Chile,CHL,2019,2424.1492
Jamaica,JAM,2000,358.7634
Jamaica,JAM,2005,343.3539
Jamaica,JAM,2010,418.32126
Jamaica,JAM,2015,494.52768
Jamaica,JAM,2019,597.85394
Trinidad and Tobago,TTO,2000,626.6725
Trinidad and Tobago,TTO,2005,1053.6812
Trinidad and Tobago,TTO,2010,1576.4778
Trinidad and Tobago,TTO,2015,1665.3807
Trinidad and Tobago,TTO,2019,1834.9614
