Entity,Code,Year,Share of the urban population using at least basic drinking water services,Share of the rural population using at least basic drinking water services,Population (historical estimates),Continent
Angola,AGO,2022,71.74315,27.808228,,
Burundi,BDI,2022,90.66911,57.685764,,
Central African Republic,CAF,2022,48.064236,27.372969,,
China,CHN,2022,98.3609,96.40161,,
Cote d'Ivoire,CIV,2022,86.15835,58.04744,,
Democratic Republic of Congo,COD,2022,59.308895,13.802947,,
Ethiopia,ETH,2022,83.23708,42.217518,,
Kenya,KEN,2022,86.351875,53.266296,,
Laos,LAO,2022,97.06426,78.47296,,
Low-income countries,,2022,79.8926,48.11497,,
Madagascar,MDG,2022,79.751724,36.027977,,
Malawi,MWI,2022,85.93218,68.78969,,
Marshall Islands,MHL,2022,84.47132,87.22932,,
Mauritania,MRT,2022,94.58891,55.64086,,
Myanmar,MMR,2022,93.66079,77.13358,,
Niger,NER,2022,88.25951,40.89417,,
Nigeria,NGA,2022,93.67342,63.479107,,
Pakistan,PAK,2022,92.87674,89.2618,,
Sao Tome and Principe,STP,2022,79.33142,71.12229,,
South Sudan,SSD,2022,70.01771,33.593628,,
Sudan,SDN,2022,74.18884,59.71634,,
Ukraine,UKR,2022,90.831955,100.0,,
World,OWID_WRL,2022,96.64703,84.017715,,
Zimbabwe,ZWE,2022,92.76032,47.695515,,
