Entity,Code,Year,Cost of Basic Needs - Share of population in poverty (Estimated),818113-annotations
Middle East and North Africa (Moatsos),,1820,74.7144,
Middle East and North Africa (Moatsos),,1850,70.53302,
Middle East and North Africa (Moatsos),,1900,59.468483,
Middle East and North Africa (Moatsos),,1950,33.15971,
Middle East and North Africa (Moatsos),,2000,2.5266538,
Middle East and North Africa (Moatsos),,2018,0.67394346,
Sub-Saharan Africa (Moatsos),,1820,91.16871,
Sub-Saharan Africa (Moatsos),,1850,95.4735,
Sub-Saharan Africa (Moatsos),,1900,91.21471,
Sub-Saharan Africa (Moatsos),,1950,70.01093,
Sub-Saharan Africa (Moatsos),,2000,49.91407,
Sub-Saharan Africa (Moatsos),,2018,36.84025,
Western Europe (Moatsos),,1820,72.51782,
Western Europe (Moatsos),,1850,64.70145,
Western Europe (Moatsos),,1900,40.91168,
Western Europe (Moatsos),,1950,20.502108,
Western Europe (Moatsos),,2000,0.077723645,
Western Europe (Moatsos),,2018,1.0127316,
Western offshoots (Moatsos),,1820,54.601112,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1850,27.617548,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1900,9.03494,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1950,0.73629755,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2000,0.9865461,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2018,1.4915435,"United States, Canada, Australia and New Zealand"
World,OWID_WRL,1820,75.64665,
World,OWID_WRL,1850,73.80684,
World,OWID_WRL,1900,59.743637,
World,OWID_WRL,1950,53.131832,
World,OWID_WRL,2000,25.332125,
World,OWID_WRL,2018,10.014513,
