Entity,Code,Year,Animal Products | 00002941 || Food available for consumption | 0674pc || grams of protein per day per capita,Vegetal Products | 00002903 || Food available for consumption | 0674pc || grams of protein per day per capita
Oman,OMN,1990,29.47912,35.97877
Oman,OMN,2000,30.88942,36.427437
Oman,OMN,2010,45.00433,42.957237
Oman,OMN,2020,46.71199,50.9381
World,OWID_WRL,1962,19.87206,42.25668
World,OWID_WRL,1970,21.489637,42.32807
World,OWID_WRL,1980,23.18404,42.704845
World,OWID_WRL,1990,24.883337,44.62826
World,OWID_WRL,2000,27.287836,46.158337
World,OWID_WRL,2010,30.573639,47.733818
World,OWID_WRL,2020,33.355595,50.235996
