Entity,Code,Year,$1.90 a day - Number in poverty (Smoothed),818144-annotations
East Asia (Moatsos),,1820,390308104,
East Asia (Moatsos),,1850,443177184,
East Asia (Moatsos),,1900,434703470,
East Asia (Moatsos),,1950,578807669,
East Asia (Moatsos),,1981,907799705,
East Asia (Moatsos),,2000,470344042,
East Asia (Moatsos),,2018,6529890,
Eastern Europe and former USSR (Moatsos),,1820,84600837,
Eastern Europe and former USSR (Moatsos),,1850,108126474,
Eastern Europe and former USSR (Moatsos),,1900,120545891,
Eastern Europe and former USSR (Moatsos),,1950,88197197,
Eastern Europe and former USSR (Moatsos),,1981,544418,
Eastern Europe and former USSR (Moatsos),,2000,16313636,
Eastern Europe and former USSR (Moatsos),,2018,591106,
Latin America and Caribbean (Moatsos),,1820,17300881,
Latin America and Caribbean (Moatsos),,1850,25265888,
Latin America and Caribbean (Moatsos),,1900,44926102,
Latin America and Caribbean (Moatsos),,1950,71487450,
Latin America and Caribbean (Moatsos),,1981,52131921,
Latin America and Caribbean (Moatsos),,2000,57191761,
Latin America and Caribbean (Moatsos),,2018,27595057,
Middle East and North Africa (Moatsos),,1820,33609833,
Middle East and North Africa (Moatsos),,1850,37927890,
Middle East and North Africa (Moatsos),,1900,44489779,
Middle East and North Africa (Moatsos),,1950,46128297,
Middle East and North Africa (Moatsos),,1981,37457549,
Middle East and North Africa (Moatsos),,2000,25229223,
Middle East and North Africa (Moatsos),,2018,25569239,
South and South-East Asia (Moatsos),,1820,173847754,
South and South-East Asia (Moatsos),,1850,200491765,
South and South-East Asia (Moatsos),,1900,264011578,
South and South-East Asia (Moatsos),,1950,406900022,
South and South-East Asia (Moatsos),,1981,717216966,
South and South-East Asia (Moatsos),,2000,669567889,
South and South-East Asia (Moatsos),,2018,195966674,
Sub-Saharan Africa (Moatsos),,1820,10451069,
Sub-Saharan Africa (Moatsos),,1850,17398558,
Sub-Saharan Africa (Moatsos),,1900,28116710,
Sub-Saharan Africa (Moatsos),,1950,135945118,
Sub-Saharan Africa (Moatsos),,1981,259201227,
Sub-Saharan Africa (Moatsos),,2000,384452229,
Sub-Saharan Africa (Moatsos),,2018,423741530,
Western Europe (Moatsos),,1820,77794523,
Western Europe (Moatsos),,1850,78719498,
Western Europe (Moatsos),,1900,56709318,
Western Europe (Moatsos),,1950,44345933,
Western Europe (Moatsos),,1981,23426,
Western Europe (Moatsos),,2000,2053,
Western Europe (Moatsos),,2018,2166957,
Western offshoots (Moatsos),,1820,6309580,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1850,8876314,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1900,9499082,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1950,484229,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1981,1439543,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2000,2370494,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2018,4518831,"United States, Canada, Australia and New Zealand"
