Entity,Code,Year,Annual PM2.5 emissions from wildfires
Antigua and Barbuda,ATG,2003,8.38
Antigua and Barbuda,ATG,2005,131.33
Antigua and Barbuda,ATG,2007,46.93
Antigua and Barbuda,ATG,2009,30.49
Antigua and Barbuda,ATG,2011,7.22
Antigua and Barbuda,ATG,2013,0.0
Antigua and Barbuda,ATG,2015,19.82
Antigua and Barbuda,ATG,2017,5.53
Antigua and Barbuda,ATG,2019,13.36
Antigua and Barbuda,ATG,2021,10.02
Antigua and Barbuda,ATG,2024,0.0
Bonaire Sint Eustatius and Saba,BES,2003,0.0
Bonaire Sint Eustatius and Saba,BES,2005,0.0
Bonaire Sint Eustatius and Saba,BES,2007,0.0
Bonaire Sint Eustatius and Saba,BES,2009,2.67
Bonaire Sint Eustatius and Saba,BES,2011,1.52
Bonaire Sint Eustatius and Saba,BES,2013,0.0
Bonaire Sint Eustatius and Saba,BES,2015,0.0
Bonaire Sint Eustatius and Saba,BES,2017,72.51
Bonaire Sint Eustatius and Saba,BES,2019,24.96
Bonaire Sint Eustatius and Saba,BES,2021,0.0
Bonaire Sint Eustatius and Saba,BES,2024,0.0
Croatia,HRV,2003,4276.35
Croatia,HRV,2005,1359.5599
Croatia,HRV,2007,2684.47
Croatia,HRV,2009,1034.05
Croatia,HRV,2011,2756.57
Croatia,HRV,2013,195.98
Croatia,HRV,2015,1499.4
Croatia,HRV,2017,4576.8
Croatia,HRV,2019,771.69995
Croatia,HRV,2021,714.65
Croatia,HRV,2024,129.16
Liberia,LBR,2003,46437.73
Liberia,LBR,2005,17478.31
Liberia,LBR,2007,68185.22
Liberia,LBR,2009,187155.55
Liberia,LBR,2011,46462.14
Liberia,LBR,2013,44972.2
Liberia,LBR,2015,134589.12
Liberia,LBR,2017,73637.69
Liberia,LBR,2019,120829.56
Liberia,LBR,2021,42125.21
Liberia,LBR,2024,31674.42
Turkey,TUR,2003,11382.82
Turkey,TUR,2005,10758.45
Turkey,TUR,2007,14629.92
Turkey,TUR,2009,30971.74
Turkey,TUR,2011,28197.74
Turkey,TUR,2013,16223.15
Turkey,TUR,2015,27308.84
Turkey,TUR,2017,15308.07
Turkey,TUR,2019,11514.4
Turkey,TUR,2021,38214.75
Turkey,TUR,2024,861.75
United Arab Emirates,ARE,2003,795.69
United Arab Emirates,ARE,2005,508.04
United Arab Emirates,ARE,2007,780.1
United Arab Emirates,ARE,2009,422.54
United Arab Emirates,ARE,2011,1335.79
United Arab Emirates,ARE,2013,1081.87
United Arab Emirates,ARE,2015,2603.74
United Arab Emirates,ARE,2017,13152.71
United Arab Emirates,ARE,2019,19534.66
United Arab Emirates,ARE,2021,20770.86
United Arab Emirates,ARE,2024,3216.7
