Entity,Code,Year,Fruit | 00002919 || Food available for consumption | 0645pc || kilograms per year per capita
Bahrain,BHR,2020,110.26172
Cyprus,CYP,1961,119.51397
Cyprus,CYP,1970,233.83212
Cyprus,CYP,1980,176.73132
Cyprus,CYP,1990,136.10463
Cyprus,CYP,2000,112.52497
Cyprus,CYP,2010,85.743996
Cyprus,CYP,2020,63.805084
European Union (27) (FAO),,1961,66.78
European Union (27) (FAO),,1970,87.4
European Union (27) (FAO),,1980,83.95
European Union (27) (FAO),,1990,99.16
European Union (27) (FAO),,2000,100.99
European Union (27) (FAO),,2010,79.9
European Union (27) (FAO),,2020,91.05
