Entity,Code,Year,Antibiotic use in livestock,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2010,,,1055233717.0,
Albania,ALB,2010,38.2,10751.421,2913402.0,
Argentina,ARG,2010,29.6,23521.27,41100124.0,
Asia,,2010,,,4220041467.0,
Australia,AUS,2010,42.1,44965.395,22019166.0,
Azerbaijan,AZE,2010,32.0,14082.238,9237203.0,
Belgium,BEL,2010,180.1,47972.56,10877948.0,
Benin,BEN,2010,12.8,2634.1348,9445716.0,
Brazil,BRA,2010,44.5,14824.741,196353504.0,
Burkina Faso,BFA,2010,14.2,1661.8721,16116851.0,
China,CHN,2010,62.5,8884.588,1348191360.0,
Djibouti,DJI,2010,0.0,,919206.0,
Egypt,EGY,2010,58.1,9807.836,87252416.0,
Estonia,EST,2010,70.9,26015.746,1331535.0,
Ethiopia,ETH,2010,28.9,1236.4794,89237800.0,
Europe,,2010,,,737406197.0,
France,FRA,2010,136.0,42145.684,62444568.0,
Georgia,GEO,2010,19.0,9736.732,3836834.0,
Germany,DEU,2010,211.5,46999.24,81325088.0,
Hungary,HUN,2010,269.9,24477.576,9986832.0,
India,IND,2010,30.0,4213.363,1240613632.0,
Iran,IRN,2010,67.9,15099.46,75373864.0,
Iraq,IRQ,2010,21.1,8178.305,31264880.0,
Italy,ITA,2010,421.1,42664.355,59822452.0,
Jamaica,JAM,2010,95.2,9700.027,2733904.0,
Japan,JPN,2010,100.9,38069.957,128105432.0,
Jordan,JOR,2010,116.2,11866.881,6931263.0,
Kuwait,KWT,2010,122.9,59780.03,2943364.0,
Lithuania,LTU,2010,48.2,23942.76,3139021.0,
Luxembourg,LUX,2010,60.3,114343.984,507075.0,
Mexico,MEX,2010,65.4,18036.717,112532400.0,
Morocco,MAR,2010,83.0,5841.8784,32464866.0,
Mozambique,MOZ,2010,16.0,1047.5914,23073732.0,
Myanmar,MMR,2010,26.2,2830.284,49390988.0,
Netherlands,NLD,2010,164.8,52032.99,16617121.0,
North America,,2010,,,543052879.0,
Oceania,,2010,,,37103109.0,
Panama,PAN,2010,138.8,21455.684,3623622.0,
Philippines,PHL,2010,66.4,5876.478,94636704.0,
Poland,POL,2010,121.1,23692.91,38597356.0,
Portugal,PRT,2010,177.9,31798.154,10588401.0,
Qatar,QAT,2010,111.7,103902.516,1713512.0,
Russia,RUS,2010,91.4,23961.22,143242592.0,
Slovenia,SVN,2010,46.9,33350.613,2057294.0,
South America,,2010,,,393078326.0,
South Korea,KOR,2010,118.7,34394.492,48813036.0,
Spain,ESP,2010,259.5,37298.47,46572776.0,
Sweden,SWE,2010,15.2,47791.37,9381722.0,
Tanzania,TZA,2010,30.8,1972.9811,45110532.0,
United Kingdom,GBR,2010,67.9,42270.434,62760048.0,
United States,USA,2010,84.5,54516.855,311182848.0,
Uzbekistan,UZB,2010,20.3,4953.9614,28614234.0,
Vietnam,VNM,2010,51.4,6324.526,87411016.0,
