Entity,Code,Year,Number of patents in carbon capture and storage
China,CHN,2000,34
China,CHN,2005,42
China,CHN,2010,314
China,CHN,2015,343
China,CHN,2021,173
European Union (27),,2000,123
European Union (27),,2005,95
European Union (27),,2010,167
European Union (27),,2015,134
European Union (27),,2021,6
Japan,JPN,2000,92
Japan,JPN,2005,93
Japan,JPN,2010,232
Japan,JPN,2015,153
Japan,JPN,2021,15
United States,USA,2000,82
United States,USA,2005,162
United States,USA,2010,445
United States,USA,2015,426
United States,USA,2021,92
