Entity,Code,Year,Annual CO₂ emissions including land-use change
Bahrain,BHR,1940,2967876.8
Bahrain,BHR,1960,575248.0
Bahrain,BHR,1980,7881154.0
Bahrain,BHR,2000,19233948.0
Bahrain,BHR,2022,37795708.0
Belgium,BEL,1850,13898322.0
Belgium,BEL,1860,20308124.0
Belgium,BEL,1880,37905840.0
Belgium,BEL,1900,57198890.0
Belgium,BEL,1920,57881090.0
Belgium,BEL,1940,61230370.0
Belgium,BEL,1960,87898430.0
Belgium,BEL,1980,129223896.0
Belgium,BEL,2000,129409490.0
Belgium,BEL,2022,92951730.0
Burundi,BDI,1960,6150621.0
Burundi,BDI,1980,2780060.0
Burundi,BDI,2000,4814386.0
Burundi,BDI,2022,2721135.0
Chile,CHL,1900,26907976.0
Chile,CHL,1920,40627570.0
Chile,CHL,1940,46160164.0
Chile,CHL,1960,58021510.0
Chile,CHL,1980,41816684.0
Chile,CHL,2000,79491160.0
Chile,CHL,2022,109530900.0
France,FRA,1850,59508090.0
France,FRA,1860,50822500.0
France,FRA,1880,76680890.0
France,FRA,1900,108618150.0
France,FRA,1920,82109290.0
France,FRA,1940,82061870.0
France,FRA,1960,263561860.0
France,FRA,1980,470654000.0
France,FRA,2000,386884600.0
France,FRA,2022,281911420.0
Iran,IRN,1920,21056240.0
Iran,IRN,1940,39428440.0
Iran,IRN,1960,92429220.0
Iran,IRN,1980,118077030.0
Iran,IRN,2000,370351970.0
Iran,IRN,2022,677453900.0
