Entity,Code,Year,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number)
China,CHN,1990,322746
China,CHN,1995,311593
China,CHN,2000,302427
China,CHN,2005,314833
China,CHN,2010,285663
China,CHN,2015,270036
China,CHN,2019,277142
India,IND,1990,315248
India,IND,1995,340719
India,IND,2000,385059
India,IND,2005,397227
India,IND,2010,419021
India,IND,2015,427616
India,IND,2019,464914
Indonesia,IDN,1990,84478
Indonesia,IDN,1995,92536
Indonesia,IDN,2000,100417
Indonesia,IDN,2005,109735
Indonesia,IDN,2010,116137
Indonesia,IDN,2015,119335
Indonesia,IDN,2019,126348
United States,USA,1990,78301
United States,USA,1995,84395
United States,USA,2000,92314
United States,USA,2005,100617
United States,USA,2010,108110
United States,USA,2015,121845
United States,USA,2019,129343
