Entity,Code,Year,Percentage of girls (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),Percentage of boys (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),Population (historical estimates),Continent
Africa,,2014,,,1170299297.0,
Argentina,ARG,2014,,,42824064.0,
Asia,,2014,,,4412496398.0,
Azerbaijan,AZE,2014,,,9741879.0,
Bangladesh,BGD,2014,,,155961312.0,
Belarus,BLR,2014,,,9693741.0,
Bosnia and Herzegovina,BIH,2014,,,3571070.0,
Costa Rica,CRI,2014,,,4844293.0,
Cuba,CUB,2014,35.0,37.0,11332030.0,
Europe,,2014,,,742190861.0,
Iraq,IRQ,2014,,,36746484.0,
Kazakhstan,KAZ,2014,,,17592296.0,
Kyrgyzstan,KGZ,2014,54.0,60.0,5814426.0,
Nigeria,NGA,2014,,,179379024.0,
North America,,2014,,,565486685.0,
Oceania,,2014,,,39729340.0,
Panama,PAN,2014,,,3888795.0,
Serbia,SRB,2014,42.0,44.0,7543965.0,
South America,,2014,,,409128901.0,
Ukraine,UKR,2014,,,45148072.0,
Vietnam,VNM,2014,65.0,72.0,91235504.0,
Zimbabwe,ZWE,2014,62.0,63.0,13855758.0,
