Entity,Code,Year,Hijacking incidents,Hijacking fatalities
World,OWID_WRL,1942,0,0
World,OWID_WRL,1945,0,0
World,OWID_WRL,1948,7,26
World,OWID_WRL,1951,1,0
World,OWID_WRL,1954,3,2
World,OWID_WRL,1957,0,0
World,OWID_WRL,1960,8,3
World,OWID_WRL,1963,1,0
World,OWID_WRL,1966,4,2
World,OWID_WRL,1969,86,5
World,OWID_WRL,1972,59,22
World,OWID_WRL,1975,20,2
World,OWID_WRL,1978,26,4
World,OWID_WRL,1981,30,6
World,OWID_WRL,1984,27,33
World,OWID_WRL,1987,13,2
World,OWID_WRL,1990,38,86
World,OWID_WRL,1993,36,4
World,OWID_WRL,1996,17,125
World,OWID_WRL,1999,13,2
World,OWID_WRL,2002,10,2
World,OWID_WRL,2005,1,0
World,OWID_WRL,2008,3,0
World,OWID_WRL,2011,1,0
World,OWID_WRL,2014,3,0
World,OWID_WRL,2017,0,0
World,OWID_WRL,2021,3,0
