Entity,Code,Year,Terrorism deaths
Africa,,1992,2719
Africa,,1995,1836
Africa,,2000,1559
Africa,,2005,699
Africa,,2010,939
Africa,,2015,12411
Africa,,2021,4872
Australasia & Oceania,,1992,9
Australasia & Oceania,,1995,6
Australasia & Oceania,,2000,7
Australasia & Oceania,,2005,0
Australasia & Oceania,,2010,0
Australasia & Oceania,,2015,2
Australasia & Oceania,,2021,0
Central America & Caribbean,,1992,112
Central America & Caribbean,,1995,81
Central America & Caribbean,,2000,11
Central America & Caribbean,,2005,1
Central America & Caribbean,,2010,0
Central America & Caribbean,,2015,0
Central America & Caribbean,,2021,2
Central Asia,,1992,320
Central Asia,,1995,94
Central Asia,,2000,18
Central Asia,,2005,18
Central Asia,,2010,8
Central Asia,,2015,13
Central Asia,,2021,0
East Asia,,1992,27
East Asia,,1995,21
East Asia,,2000,1
East Asia,,2005,12
East Asia,,2010,7
East Asia,,2015,123
East Asia,,2021,8
Eastern Europe,,1992,110
Eastern Europe,,1995,158
Eastern Europe,,2000,402
Eastern Europe,,2005,158
Eastern Europe,,2010,235
Eastern Europe,,2015,791
Eastern Europe,,2021,8
Middle East & North Africa,,1992,1879
Middle East & North Africa,,1995,1020
Middle East & North Africa,,2000,624
Middle East & North Africa,,2005,3928
Middle East & North Africa,,2010,2663
Middle East & North Africa,,2015,17990
Middle East & North Africa,,2021,1488
North America,,1992,8
North America,,1995,240
North America,,2000,13
North America,,2005,2
North America,,2010,4
North America,,2015,63
North America,,2021,42
Oceania,,1992,9
Oceania,,1995,6
Oceania,,2000,7
Oceania,,2005,0
Oceania,,2010,0
Oceania,,2015,2
Oceania,,2021,0
South America,,1992,1536
South America,,1995,650
South America,,2000,430
South America,,2005,152
South America,,2010,58
South America,,2015,128
South America,,2021,108
South Asia,,1992,2447
South Asia,,1995,2133
South Asia,,2000,1361
South Asia,,2005,1367
South Asia,,2010,3697
South Asia,,2015,8300
South Asia,,2021,4671
Southeast Asia,,1992,673
Southeast Asia,,1995,312
Southeast Asia,,2000,459
Southeast Asia,,2005,266
Southeast Asia,,2010,322
Southeast Asia,,2015,646
Southeast Asia,,2021,374
Sub-Saharan Africa,,1992,2442
Sub-Saharan Africa,,1995,1320
Sub-Saharan Africa,,2000,1026
Sub-Saharan Africa,,2005,379
Sub-Saharan Africa,,2010,830
Sub-Saharan Africa,,2015,10766
Sub-Saharan Africa,,2021,4836
