Entity,Code,Year,Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number)
Comoros,COM,1990,0
Comoros,COM,1995,0
Comoros,COM,2000,0
Comoros,COM,2005,0
Comoros,COM,2010,0
Comoros,COM,2015,0
Comoros,COM,2019,0
Europe & Central Asia (WB),,1990,1955
Europe & Central Asia (WB),,1995,16893
Europe & Central Asia (WB),,2000,7978
Europe & Central Asia (WB),,2005,1846
Europe & Central Asia (WB),,2010,2361
Europe & Central Asia (WB),,2015,4548
Europe & Central Asia (WB),,2019,559
France,FRA,1990,8
France,FRA,1995,27
France,FRA,2000,18
France,FRA,2005,6
France,FRA,2010,17
France,FRA,2015,295
France,FRA,2019,0
Guatemala,GTM,1990,749
Guatemala,GTM,1995,162
Guatemala,GTM,2000,12
Guatemala,GTM,2005,2
Guatemala,GTM,2010,0
Guatemala,GTM,2015,0
Guatemala,GTM,2019,0
Guyana,GUY,1990,0
Guyana,GUY,1995,0
Guyana,GUY,2000,0
Guyana,GUY,2005,0
Guyana,GUY,2010,0
Guyana,GUY,2015,0
Guyana,GUY,2019,0
Madagascar,MDG,1990,0
Madagascar,MDG,1995,4
Madagascar,MDG,2000,1
Madagascar,MDG,2005,2
Madagascar,MDG,2010,2
Madagascar,MDG,2015,169
Madagascar,MDG,2019,139
Mozambique,MOZ,1990,1944
Mozambique,MOZ,1995,15
Mozambique,MOZ,2000,1
Mozambique,MOZ,2005,12
Mozambique,MOZ,2010,7
Mozambique,MOZ,2015,4
Mozambique,MOZ,2019,159
Yemen,YEM,1990,0
Yemen,YEM,1995,4
Yemen,YEM,2000,19
Yemen,YEM,2005,12
Yemen,YEM,2010,520
Yemen,YEM,2015,7747
Yemen,YEM,2019,13402
