Entity,Code,Year,"Accumulated Cyclone Energy; ACE (HUDRAT, NOAA)"
North Atlantic,,1851,36
North Atlantic,,1857,40
North Atlantic,,1863,50
North Atlantic,,1869,51
North Atlantic,,1875,72
North Atlantic,,1881,59
North Atlantic,,1887,181
North Atlantic,,1893,231
North Atlantic,,1899,151
North Atlantic,,1905,28
North Atlantic,,1911,35
North Atlantic,,1917,61
North Atlantic,,1923,49
North Atlantic,,1929,48
North Atlantic,,1935,106
North Atlantic,,1941,52
North Atlantic,,1947,88
North Atlantic,,1953,99
North Atlantic,,1959,77
North Atlantic,,1965,88
North Atlantic,,1971,97
North Atlantic,,1977,25
North Atlantic,,1983,17
North Atlantic,,1989,135
North Atlantic,,1995,228
North Atlantic,,2001,110
North Atlantic,,2007,74
North Atlantic,,2018,132
