Entity,Code,Year,"Share of total deaths that are from all causes attributed to smoking, in both sexes aged age-standardized"
Albania,ALB,1990,17.720242
Albania,ALB,1995,16.525667
Albania,ALB,2000,16.233143
Albania,ALB,2005,15.91568
Albania,ALB,2010,15.975057
Albania,ALB,2015,17.119087
Albania,ALB,2019,17.804209
Botswana,BWA,1990,11.636071
Botswana,BWA,1995,9.731161
Botswana,BWA,2000,7.952465
Botswana,BWA,2005,8.1173935
Botswana,BWA,2010,8.704234
Botswana,BWA,2015,8.753661
Botswana,BWA,2019,8.751771
Croatia,HRV,1990,22.385187
Croatia,HRV,1995,21.403261
Croatia,HRV,2000,20.078188
Croatia,HRV,2005,18.973177
Croatia,HRV,2010,18.384506
Croatia,HRV,2015,18.20087
Croatia,HRV,2019,18.369282
Mali,MLI,1990,2.127212
Mali,MLI,1995,2.2585616
Mali,MLI,2000,2.3129478
Mali,MLI,2005,2.5760968
Mali,MLI,2010,2.9987187
Mali,MLI,2015,3.2771149
Mali,MLI,2019,3.62795
Norway,NOR,1990,18.1447
Norway,NOR,1995,18.142187
Norway,NOR,2000,17.685806
Norway,NOR,2005,17.260061
Norway,NOR,2010,16.265213
Norway,NOR,2015,14.250443
Norway,NOR,2019,12.425961
