Entity,Code,Year,"Current number of cases of cardiovascular diseases per 100,000 people, in both sexes aged age-standardized"
Bosnia and Herzegovina,BIH,1990,7.0637036
Bosnia and Herzegovina,BIH,1995,6.983180000000001
Bosnia and Herzegovina,BIH,2000,7.0971826
Bosnia and Herzegovina,BIH,2005,7.240924
Bosnia and Herzegovina,BIH,2010,7.294955
Bosnia and Herzegovina,BIH,2015,7.313280300000001
Bosnia and Herzegovina,BIH,2019,7.3387246
Congo,COG,1990,6.981027
Congo,COG,1995,7.0175864
Congo,COG,2000,6.871876500000001
Congo,COG,2005,6.6535
Congo,COG,2010,6.630369
Congo,COG,2015,6.6064287
Congo,COG,2019,6.6436025
Dominica,DMA,1990,6.586807
Dominica,DMA,1995,6.56642
Dominica,DMA,2000,6.5485054
Dominica,DMA,2005,6.5891455
Dominica,DMA,2010,6.6206846
Dominica,DMA,2015,6.608939
Dominica,DMA,2019,6.613665500000001
England,,1990,6.9908784
England,,1995,6.424290500000001
England,,2000,6.0412075000000005
England,,2005,5.630075
England,,2010,5.4404424
England,,2015,5.4872879999999995
England,,2019,5.5711465
Low Income (WB),,1990,6.288761000000001
Low Income (WB),,1995,6.2929316
Low Income (WB),,2000,6.34262
Low Income (WB),,2005,6.338851
Low Income (WB),,2010,6.345328
Low Income (WB),,2015,6.3341080000000005
Low Income (WB),,2019,6.3752534
Sierra Leone,SLE,1990,6.904259000000001
Sierra Leone,SLE,1995,6.8758423
Sierra Leone,SLE,2000,6.9744897
Sierra Leone,SLE,2005,6.958363
Sierra Leone,SLE,2010,6.991572000000001
Sierra Leone,SLE,2015,6.9404883
Sierra Leone,SLE,2019,6.9793955
