Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Substance use disorders - Sex: Both - Age: All Ages (Percent)
Australia,AUS,1990,2.51
Australia,AUS,1995,3.21
Australia,AUS,2000,3.37
Australia,AUS,2005,3.12
Australia,AUS,2010,3.06
Australia,AUS,2015,3.36
Australia,AUS,2019,3.46
Chile,CHL,1990,1.73
Chile,CHL,1995,1.94
Chile,CHL,2000,2.45
Chile,CHL,2005,2.58
Chile,CHL,2010,2.34
Chile,CHL,2015,2.2
Chile,CHL,2019,2.21
China,CHN,1990,1.34
China,CHN,1995,1.69
China,CHN,2000,1.67
China,CHN,2005,1.61
China,CHN,2010,1.46
China,CHN,2015,1.46
China,CHN,2019,1.5
India,IND,1990,0.45
India,IND,1995,0.52
India,IND,2000,0.61
India,IND,2005,0.7
India,IND,2010,0.72
India,IND,2015,0.78
India,IND,2019,0.86
Russia,RUS,1990,3.8
Russia,RUS,1995,4.49
Russia,RUS,2000,4.95
Russia,RUS,2005,4.76
Russia,RUS,2010,4.2
Russia,RUS,2015,3.83
Russia,RUS,2019,3.78
Spain,ESP,1990,1.68
Spain,ESP,1995,2.14
Spain,ESP,2000,2.3
Spain,ESP,2005,2.42
Spain,ESP,2010,1.8
Spain,ESP,2015,1.65
Spain,ESP,2019,1.66
United States,USA,1990,2.8
United States,USA,1995,2.98
United States,USA,2000,3.46
United States,USA,2005,4.39
United States,USA,2010,4.92
United States,USA,2015,6.04
United States,USA,2019,6.66
