Entity,Code,Year,Biofuels production - TWh
Brazil,BRA,1990,68.512
Brazil,BRA,1995,76.39262
Brazil,BRA,2000,65.01594
Brazil,BRA,2005,97.43511
Brazil,BRA,2010,189.93903
Brazil,BRA,2015,218.91077
Brazil,BRA,2020,255.50471
Brazil,BRA,2022,254.02217
Germany,DEU,1995,0.36166975
Germany,DEU,2000,2.5833373
Germany,DEU,2005,16.176365
Germany,DEU,2010,36.44826
Germany,DEU,2015,36.8279
Germany,DEU,2020,39.174717
Germany,DEU,2022,38.26378
Mexico,MEX,2010,0.0
Mexico,MEX,2015,0.0
Mexico,MEX,2020,0.2364856
Mexico,MEX,2022,0.4138498
United Kingdom,GBR,2005,0.09173745
United Kingdom,GBR,2010,3.2686234
United Kingdom,GBR,2015,3.5043516
United Kingdom,GBR,2020,6.475377
United Kingdom,GBR,2022,6.5890055
United States,USA,1990,16.732742
United States,USA,1995,30.38405
United States,USA,2000,36.307648
United States,USA,2005,90.5215
United States,USA,2010,309.49323
United States,USA,2015,381.23245
United States,USA,2020,393.43924
United States,USA,2022,451.83002
