Entity,Code,Year,Breast,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2009,,,1028200528.0,
Algeria,DZA,2009,59.8,10824.576,35196040.0,
Asia,,2009,,,4171339685.0,
Brazil,BRA,2009,87.4,13916.963,194517552.0,
Bulgaria,BGR,2009,73.9,17770.709,7634737.0,
China,CHN,2009,80.9,8069.3545,1339125632.0,
Croatia,HRV,2009,77.9,24838.78,4382142.0,
Cyprus,CYP,2009,90.6,38542.918,1110979.0,
Europe,,2009,,,736013515.0,
France,FRA,2009,86.9,41544.023,62093300.0,
Germany,DEU,2009,85.3,45044.49,81260624.0,
India,IND,2009,60.4,3937.2375,1223640192.0,
Indonesia,IDN,2009,77.7,7828.809,240981296.0,
Ireland,IRL,2009,80.0,52902.887,4499797.0,
Japan,JPN,2009,84.7,36577.863,128117040.0,
Jordan,JOR,2009,43.1,11856.289,6780508.0,
Malaysia,MYS,2009,67.8,19110.752,28217208.0,
Malta,MLT,2009,76.3,31341.334,415509.0,
Mauritius,MUS,2009,87.4,16625.14,1279868.0,
Mongolia,MNG,2009,56.5,7163.802,2666718.0,
Netherlands,NLD,2009,85.0,51607.605,16536200.0,
North America,,2009,,,537567761.0,
Oceania,,2009,,,36448615.0,
Portugal,PRT,2009,83.4,31269.41,10591341.0,
Russia,RUS,2009,70.6,22939.693,143163648.0,
South Africa,ZAF,2009,53.4,13228.895,51170780.0,
South America,,2009,,,389045327.0,
Switzerland,CHE,2009,85.5,64726.37,7734402.0,
Thailand,THA,2009,71.3,13270.617,67813656.0,
Turkey,TUR,2009,78.6,18497.01,72225648.0,
United Kingdom,GBR,2009,81.1,41592.363,62243384.0,
United States,USA,2009,88.6,53521.207,308512032.0,
