Entity,Code,Year,Deaths - Sex: all - Age: 0-4 - Variant: estimates
Africa (UN),,1950,3440484
Africa (UN),,1960,3569961
Africa (UN),,1970,3921717
Africa (UN),,1980,4112626
Africa (UN),,1990,4317492
Africa (UN),,2000,4259947
Africa (UN),,2010,3538916
Africa (UN),,2021,2956943
Asia (UN),,1950,13601448
Asia (UN),,1960,16753061
Asia (UN),,1970,12314197
Asia (UN),,1980,9159766
Asia (UN),,1990,7894566
Asia (UN),,2000,5279618
Asia (UN),,2010,3289663
Asia (UN),,2021,1838204
Europe (UN),,1950,1078953
Europe (UN),,1960,582984
Europe (UN),,1970,372477
Europe (UN),,1980,278409
Europe (UN),,1990,163178
Europe (UN),,2000,80620
Europe (UN),,2010,54416
Europe (UN),,2021,29805
Latin America and the Caribbean (UN),,1950,1485741
Latin America and the Caribbean (UN),,1960,1440747
Latin America and the Caribbean (UN),,1970,1265964
Latin America and the Caribbean (UN),,1980,987746
Latin America and the Caribbean (UN),,1990,665054
Latin America and the Caribbean (UN),,2000,387607
Latin America and the Caribbean (UN),,2010,248603
Latin America and the Caribbean (UN),,2021,158369
Northern America (UN),,1950,141844
Northern America (UN),,1960,138024
Northern America (UN),,1970,95055
Northern America (UN),,1980,57673
Northern America (UN),,1990,50154
Northern America (UN),,2000,36067
Northern America (UN),,2010,31492
Northern America (UN),,2021,25371
Oceania (UN),,1950,31671
Oceania (UN),,1960,29922
Oceania (UN),,1970,26345
Oceania (UN),,1980,19013
Oceania (UN),,1990,17278
Oceania (UN),,2000,16861
Oceania (UN),,2010,16810
Oceania (UN),,2021,13658
